cliente_id,region,plan,canal_atencion,tipo_cliente,satisfaccion,meses_activo
54,Coquimbo,Estándar,App,Residencial,10,20
55,O_Higgins,Básico,Telefónico,Residencial,7.8,40
56,Antofagasta,Premium,App,Pyme,8.0,27
57,Araucanía,Estándar,Telefónico,Empresarial,8.6,80
58,Biobío,Empresarial,Web,Pyme,6.0,23
59,Coquimbo,Básico,Telefónico,Empresarial,4.9,32
60,Los Lagos,Básico,App,Residencial,8.6,5
61,Maule,Básico,Sucursal,Residencial,8.8,29
62,Metropolitana,Estándar,Sucursal,Residencial,3.9,9
63,Los Lagos,Básico,Sucursal,Empresarial,8.1,4
64,Valparaíso,Premium,Telefónico,Residencial,5.9,34
65,Metropolitana,Básico,Sucursal,Residencial,7.6,66
66,Valparaíso,Básico,Web,Residencial,5.3,56
67,Metropolitana,Estándar,Web,Residencial,9.6,43
68,Atacama,Básico,App,Empresarial,8.3,39
69,O_Higgins,Básico,Sucursal,Residencial,6.5,25
70,Coquimbo,Estándar,Sucursal,Empresarial,5.0,23
71,Atacama,Estándar,Sucursal,Residencial,8.7,56
72,Atacama,Estándar,Telefónico,Residencial,7.2,57
73,Araucanía,Estándar,Web,Empresarial,6.6,80
74,Antofagasta,Básico,Web,Empresarial,9.8,29
75,Araucanía,Básico,App,Residencial,3.7,10
76,Maule,Estándar,Web,Empresarial,7.7,50
77,Maule,Básico,Web,Empresarial,10,14
78,Coquimbo,Básico,Sucursal,Residencial,7.3,32
79,Valparaíso,Estándar,Sucursal,Empresarial,9.6,57
80,Atacama,Premium,Sucursal,Empresarial,7.0,71
81,Maule,Premium,Sucursal,Residencial,7.2,36
82,O_Higgins,Estándar,Web,Residencial,3.8,10
83,Los Lagos,Básico,Telefónico,Residencial,6.2,30
84,Coquimbo,Estándar,Web,Residencial,7.0,53
85,Antofagasta,Estándar,Sucursal,Residencial,8.1,75
86,Metropolitana,Premium,Sucursal,Residencial,5.6,46
87,Los Lagos,Premium,Sucursal,Residencial,6.9,29
88,Maule,Básico,Sucursal,Residencial,4.0,50
89,Antofagasta,Estándar,Sucursal,Empresarial,9.4,80
90,O_Higgins,Básico,Sucursal,Residencial,3.8,4
91,Valparaíso,Estándar,Web,Pyme,7.8,42
92,Araucanía,Estándar,Telefónico,Empresarial,8.5,49
93,Los Lagos,Premium,Sucursal,Residencial,7.5,70
94,Metropolitana,Empresarial,Telefónico,Residencial,7.4,9
95,Metropolitana,Premium,Web,Residencial,8.2,17
96,Maule,Estándar,Web,Residencial,7.3,33
97,Antofagasta,Básico,App,Empresarial,8.0,75
98,Metropolitana,Empresarial,Sucursal,Residencial,8.5,26
99,Valparaíso,Estándar,Web,Residencial,7.7,77
100,Valparaíso,Premium,App,Residencial,3.7,55
101,Antofagasta,Básico,Telefónico,Residencial,5.4,56
102,Antofagasta,Estándar,Sucursal,Empresarial,8.2,56
103,Biobío,Premium,Telefónico,Empresarial,9.9,60
104,Coquimbo,Premium,Telefónico,Residencial,5.7,32
105,Valparaíso,Básico,Sucursal,Residencial,4.8,49
106,Antofagasta,Básico,Telefónico,Residencial,7.7,28
107,Antofagasta,Premium,Telefónico,Residencial,4.1,72
108,Metropolitana,Estándar,Web,Residencial,5.1,53
109,Maule,Estándar,Web,Empresarial,5.9,3
110,Valparaíso,Básico,Sucursal,Empresarial,5.5,40
111,Atacama,Básico,Telefónico,Residencial,7.2,59
112,Los Lagos,Básico,Web,Residencial,5.6,25
113,Antofagasta,Básico,Web,Residencial,7.1,76
114,O_Higgins,Estándar,App,Empresarial,5.8,38
115,Araucanía,Básico,Telefónico,Residencial,5.8,7
116,O_Higgins,Básico,Web,Empresarial,6.9,63
117,Valparaíso,Premium,Telefónico,Residencial,6.1,7
118,Los Lagos,Empresarial,Sucursal,Residencial,7.6,9
119,Coquimbo,Estándar,App,Residencial,8.8,11
120,Araucanía,Básico,Sucursal,Empresarial,3.1,80
121,Araucanía,Premium,Sucursal,Residencial,3.9,55
122,Los Lagos,Estándar,App,Empresarial,8.5,13
123,Araucanía,Estándar,Telefónico,Empresarial,7.8,10
124,Biobío,Básico,Sucursal,Empresarial,8.1,61
125,Los Lagos,Básico,Telefónico,Empresarial,6.6,30
126,Los Lagos,Premium,Web,Residencial,5.3,70
127,Araucanía,Estándar,Telefónico,Empresarial,8.2,40
128,Atacama,Premium,Telefónico,Residencial,7.7,60
129,Los Lagos,Estándar,Telefónico,Residencial,6.5,6
130,Coquimbo,Premium,Telefónico,Residencial,7.2,30
131,Atacama,Estándar,App,Pyme,6.5,6
132,Biobío,Estándar,Sucursal,Pyme,5.9,24
133,Atacama,Estándar,Sucursal,Pyme,5.4,42
134,Valparaíso,Premium,Telefónico,Residencial,7.5,64
135,Los Lagos,Estándar,Sucursal,Empresarial,5.3,41
136,Los Lagos,Básico,Sucursal,Pyme,6.6,1
137,O_Higgins,Estándar,App,Residencial,5.2,81
138,Maule,Premium,Web,Residencial,9.5,17
139,Los Lagos,Estándar,Sucursal,Residencial,9.6,31
140,Biobío,Básico,App,Residencial,6.8,12
141,Araucanía,Empresarial,App,Residencial,9.7,64
142,Los Lagos,Estándar,Telefónico,Residencial,9.5,62
143,Maule,Básico,Web,Residencial,9.1,18
144,Valparaíso,Básico,Sucursal,Residencial,6.2,65
145,Los Lagos,Premium,Telefónico,Empresarial,8.4,63
146,Biobío,Estándar,Sucursal,Residencial,5.2,71
147,O_Higgins,Básico,Telefónico,Pyme,8.5,50
148,Araucanía,Premium,Sucursal,Residencial,7.0,61
149,Coquimbo,Básico,Web,Residencial,9.3,76
150,Antofagasta,Premium,Sucursal,Residencial,7.7,59
151,Metropolitana,Premium,Sucursal,Pyme,7.9,34
152,Antofagasta,Estándar,Sucursal,Empresarial,7.1,43
153,O_Higgins,Básico,Telefónico,Empresarial,8.8,70
154,Metropolitana,Estándar,Web,Empresarial,5.8,37
155,Araucanía,Premium,Sucursal,Pyme,7.4,13
156,Maule,Básico,Telefónico,Pyme,4.4,6
157,Antofagasta,Premium,Telefónico,Residencial,6.0,53
158,Atacama,Estándar,Web,Residencial,7.8,11
159,Atacama,Premium,Web,Residencial,6.1,82
160,Los Lagos,Estándar,App,Pyme,6.5,60
161,Los Lagos,Estándar,Web,Residencial,10,39
162,Coquimbo,Estándar,Sucursal,Empresarial,5.4,26
163,Coquimbo,Premium,App,Residencial,5.1,38
164,Metropolitana,Empresarial,Sucursal,Residencial,6.2,73
165,Metropolitana,Empresarial,Sucursal,Empresarial,9.8,30
166,Atacama,Premium,Web,Empresarial,5.4,80
167,Los Lagos,Estándar,Web,Empresarial,9.3,40
168,Maule,Básico,Telefónico,Empresarial,5.7,12
169,Los Lagos,Básico,Sucursal,Residencial,8.7,47
170,O_Higgins,Estándar,Telefónico,Empresarial,8.9,33
171,Maule,Empresarial,Telefónico,Empresarial,6.7,10
172,Biobío,Premium,Web,Pyme,8.0,51
173,O_Higgins,Básico,Sucursal,Residencial,5.3,34
174,Atacama,Básico,Telefónico,Residencial,6.7,30
175,Maule,Básico,Telefónico,Pyme,7.3,60
176,Los Lagos,Estándar,App,Residencial,7.8,5
177,Los Lagos,Empresarial,App,Residencial,7.9,59
178,Antofagasta,Estándar,Sucursal,Residencial,6.6,20
179,Coquimbo,Estándar,Sucursal,Empresarial,8.6,48
180,Araucanía,Estándar,Web,Pyme,6.7,13
181,Antofagasta,Estándar,Telefónico,Residencial,6.4,59
182,Valparaíso,Estándar,App,Residencial,10,43
183,Araucanía,Empresarial,Web,Residencial,7.3,28
184,Araucanía,Básico,Web,Empresarial,6.0,77
185,Metropolitana,Básico,Web,Pyme,4.1,15
186,Metropolitana,Básico,Telefónico,Empresarial,6.4,31
187,Atacama,Básico,Web,Residencial,8.5,15
188,Valparaíso,Estándar,Telefónico,Residencial,8.5,14
189,Maule,Estándar,App,Empresarial,9.4,39
190,Maule,Estándar,App,Residencial,5.8,62
191,Coquimbo,Estándar,App,Residencial,7.8,11
192,Antofagasta,Estándar,App,Residencial,6.8,80
193,Atacama,Estándar,Telefónico,Residencial,6.0,65
194,Atacama,Estándar,App,Pyme,6.3,84
195,O_Higgins,Premium,Web,Residencial,8.6,59
196,Coquimbo,Estándar,App,Residencial,6.0,41
197,Los Lagos,Básico,Web,Empresarial,6.4,11
198,Valparaíso,Estándar,Telefónico,Empresarial,7.3,72
199,Metropolitana,Estándar,Telefónico,Empresarial,4.1,55
200,Metropolitana,Empresarial,Telefónico,Residencial,9.1,74
201,O_Higgins,Básico,Sucursal,Residencial,9.9,48
202,Valparaíso,Premium,Web,Empresarial,9.4,72
203,Atacama,Estándar,App,Empresarial,5.7,4
204,Biobío,Básico,Telefónico,Pyme,4.9,45
205,Metropolitana,Básico,Web,Residencial,6.4,82
206,Metropolitana,Básico,Web,Residencial,7.8,59
207,Antofagasta,Básico,Telefónico,Empresarial,7.6,11
208,Metropolitana,Básico,App,Empresarial,4.9,35
209,Maule,Estándar,Sucursal,Empresarial,6.1,66
210,Valparaíso,Básico,App,Residencial,7.8,76
211,Maule,Estándar,Telefónico,Residencial,5.3,1
212,Araucanía,Básico,Web,Empresarial,8.7,33
213,Los Lagos,Básico,App,Residencial,6.3,69
214,Araucanía,Estándar,Telefónico,Residencial,7.6,6
215,Coquimbo,Básico,App,Pyme,5.1,82
216,Coquimbo,Básico,Sucursal,Residencial,6.1,42
217,Biobío,Premium,Sucursal,Empresarial,7.9,14
218,Araucanía,Estándar,Sucursal,Residencial,6.8,51
219,Los Lagos,Premium,Web,Residencial,8.3,15
220,O_Higgins,Estándar,Telefónico,Residencial,9.1,83
221,Biobío,Básico,Web,Residencial,7.7,84
222,Valparaíso,Básico,Sucursal,Residencial,8.1,73
223,Atacama,Estándar,Telefónico,Pyme,6.5,9
224,Maule,Estándar,Telefónico,Empresarial,6.5,76
225,Metropolitana,Básico,App,Residencial,6.6,37
226,Valparaíso,Estándar,App,Empresarial,7.4,65
227,Coquimbo,Estándar,App,Residencial,8.2,42
228,Atacama,Estándar,Web,Pyme,4.8,58
229,Valparaíso,Premium,Telefónico,Pyme,9.4,6
230,Araucanía,Premium,Sucursal,Residencial,8.5,79
231,Biobío,Básico,Telefónico,Residencial,7.6,7
232,Antofagasta,Básico,App,Residencial,4.5,50
233,Los Lagos,Básico,Web,Residencial,6.3,45
234,Los Lagos,Empresarial,Sucursal,Residencial,6.7,11
235,Los Lagos,Estándar,Telefónico,Empresarial,5.6,68
236,Valparaíso,Estándar,Sucursal,Residencial,4.2,3
237,Antofagasta,Básico,Web,Residencial,7.3,18
238,Biobío,Básico,App,Residencial,6.0,70
239,O_Higgins,Básico,Telefónico,Pyme,5.4,20
240,Biobío,Básico,Web,Empresarial,5.6,6
241,Coquimbo,Básico,Web,Pyme,4.9,58
242,Araucanía,Estándar,Telefónico,Pyme,5.3,61
243,Araucanía,Básico,Sucursal,Residencial,6.8,68
244,Coquimbo,Empresarial,Web,Empresarial,8.9,18
245,Los Lagos,Básico,Sucursal,Pyme,6.4,67
246,Valparaíso,Básico,Web,Residencial,6.9,66
247,Biobío,Premium,App,Pyme,7.5,45
248,Metropolitana,Estándar,Sucursal,Residencial,9.1,31
249,Coquimbo,Empresarial,Telefónico,Residencial,6.9,84
250,Antofagasta,Premium,Web,Residencial,7.9,61
251,Biobío,Premium,Sucursal,Residencial,7.9,33
252,Araucanía,Premium,Sucursal,Residencial,7.2,37
253,Araucanía,Básico,App,Residencial,5.6,9
254,Valparaíso,Premium,Sucursal,Residencial,5.3,3
255,O_Higgins,Estándar,Web,Residencial,8.9,74
256,Coquimbo,Básico,App,Residencial,7.2,47
257,Valparaíso,Empresarial,App,Residencial,4.7,48
258,Los Lagos,Premium,Telefónico,Empresarial,7.7,45
259,Araucanía,Premium,App,Empresarial,7.0,6
260,Antofagasta,Estándar,Web,Empresarial,5.6,60
261,Maule,Estándar,Web,Residencial,7.5,38
262,Araucanía,Básico,Web,Pyme,5.2,41
263,Los Lagos,Estándar,Sucursal,Residencial,7.2,46
264,Metropolitana,Premium,Telefónico,Residencial,6.0,48
265,Coquimbo,Premium,Sucursal,Pyme,3.5,64
266,Maule,Básico,Telefónico,Empresarial,10,55
267,Valparaíso,Estándar,Web,Residencial,6.9,38
268,Los Lagos,Estándar,Sucursal,Residencial,7.9,57
269,Antofagasta,Estándar,Telefónico,Empresarial,4.8,8
270,Valparaíso,Estándar,Sucursal,Residencial,8.2,21
271,Metropolitana,Básico,Sucursal,Residencial,10,47
272,Antofagasta,Básico,App,Empresarial,8.5,58
273,Antofagasta,Básico,App,Residencial,5.4,84
274,Los Lagos,Básico,App,Residencial,6.9,24
275,Maule,Estándar,App,Residencial,7.1,79
276,Los Lagos,Estándar,Sucursal,Residencial,9.2,18
277,Valparaíso,Estándar,Sucursal,Pyme,8.9,41
278,Antofagasta,Premium,Telefónico,Pyme,2.8,21
279,Biobío,Premium,Web,Residencial,7.5,64
280,Metropolitana,Básico,Telefónico,Residencial,8.1,71
281,Biobío,Estándar,App,Residencial,4.9,62
282,O_Higgins,Estándar,Sucursal,Empresarial,8.9,10
283,Biobío,Empresarial,App,Residencial,6.5,71
284,Atacama,Básico,Web,Residencial,5.7,8
285,Valparaíso,Estándar,Telefónico,Residencial,6.0,45
286,O_Higgins,Premium,App,Residencial,9.7,82
287,O_Higgins,Básico,Telefónico,Empresarial,9.3,76
288,Atacama,Básico,Telefónico,Empresarial,8.6,73
289,Metropolitana,Premium,App,Residencial,10,34
290,Araucanía,Premium,Sucursal,Empresarial,6.2,4
291,Maule,Premium,Telefónico,Empresarial,6.8,52
292,Los Lagos,Estándar,App,Residencial,8.5,54
293,Maule,Estándar,Telefónico,Empresarial,6.1,45
294,Coquimbo,Básico,Telefónico,Residencial,9.8,14
295,Antofagasta,Básico,App,Residencial,7.2,38
296,Coquimbo,Premium,Sucursal,Residencial,8.0,21
297,Antofagasta,Empresarial,Telefónico,Residencial,10,60
298,Maule,Premium,Sucursal,Residencial,10,51
299,O_Higgins,Estándar,Web,Residencial,6.9,64
300,Atacama,Premium,Sucursal,Residencial,7.7,2
301,Valparaíso,Estándar,Telefónico,Empresarial,7.3,52
302,Metropolitana,Estándar,Web,Residencial,5.5,37
303,Valparaíso,Básico,Sucursal,Empresarial,6.2,79
304,Valparaíso,Básico,App,Residencial,10,44
305,O_Higgins,Empresarial,Web,Residencial,5.1,6
306,Metropolitana,Básico,Telefónico,Empresarial,7.1,67
307,Maule,Básico,Web,Residencial,6.4,79
308,Los Lagos,Estándar,Sucursal,Empresarial,6.5,39
309,Maule,Premium,Telefónico,Residencial,8.6,40
310,Metropolitana,Estándar,Telefónico,Pyme,8.4,75
311,Atacama,Básico,App,Residencial,8.4,80
312,Coquimbo,Básico,Web,Residencial,9.4,15
313,Araucanía,Básico,Telefónico,Residencial,6.2,65
314,Atacama,Empresarial,App,Empresarial,7.8,67
315,Araucanía,Estándar,Sucursal,Residencial,6.8,69
316,Antofagasta,Estándar,Telefónico,Empresarial,8.2,25
317,Araucanía,Básico,Telefónico,Residencial,8.7,37
318,Araucanía,Estándar,Sucursal,Residencial,6.9,45
319,O_Higgins,Empresarial,Telefónico,Residencial,5.2,51
320,Antofagasta,Empresarial,Web,Residencial,6.2,37
321,Valparaíso,Básico,Sucursal,Empresarial,7.2,69
322,Los Lagos,Empresarial,Telefónico,Residencial,6.0,79
323,Atacama,Básico,App,Empresarial,4.7,7
324,Valparaíso,Estándar,Sucursal,Residencial,6.7,18
325,Metropolitana,Empresarial,Web,Residencial,10,62
326,Araucanía,Premium,Telefónico,Residencial,5.7,83
327,Metropolitana,Empresarial,App,Empresarial,7.5,5
328,Biobío,Estándar,Web,Pyme,10,5
329,Coquimbo,Premium,Web,Pyme,10,5
330,Metropolitana,Básico,App,Pyme,6.2,43
331,Los Lagos,Estándar,Sucursal,Pyme,8.6,35
332,Araucanía,Premium,Telefónico,Residencial,8.8,59
333,Los Lagos,Premium,App,Empresarial,7.8,25
334,Biobío,Estándar,Sucursal,Empresarial,4.9,66
335,Antofagasta,Básico,App,Residencial,8.2,32
336,Metropolitana,Básico,Web,Residencial,8.4,35
337,Antofagasta,Básico,App,Residencial,6.4,16
338,Maule,Básico,Sucursal,Empresarial,8.2,40
339,Valparaíso,Estándar,Telefónico,Residencial,8.0,62
340,Biobío,Estándar,Telefónico,Residencial,10,71
341,Maule,Premium,Web,Empresarial,6.2,11
342,O_Higgins,Estándar,Telefónico,Residencial,5.0,73
343,Valparaíso,Básico,Web,Residencial,8.1,67
344,Maule,Básico,Web,Empresarial,8.5,63
345,Valparaíso,Premium,Sucursal,Empresarial,5.1,59
346,Atacama,Básico,Sucursal,Empresarial,7.8,40
347,Metropolitana,Básico,App,Empresarial,6.7,45
348,Valparaíso,Estándar,App,Pyme,6.9,9
349,Maule,Básico,Sucursal,Residencial,8.9,83
350,Coquimbo,Básico,Sucursal,Residencial,9.1,49
351,Coquimbo,Básico,Web,Empresarial,6.5,69
352,Coquimbo,Estándar,Web,Empresarial,8.1,3
353,Los Lagos,Estándar,Sucursal,Residencial,7.8,45
354,Biobío,Básico,App,Residencial,6.0,54
355,Atacama,Premium,App,Residencial,9.4,58
356,Atacama,Estándar,App,Residencial,8.2,6
357,Coquimbo,Estándar,Web,Empresarial,7.4,38
358,Araucanía,Premium,Telefónico,Residencial,6.2,42
359,Araucanía,Básico,Web,Pyme,5.4,36
360,Metropolitana,Estándar,Web,Empresarial,7.0,55
361,O_Higgins,Estándar,Telefónico,Pyme,5.7,41
362,Coquimbo,Estándar,Telefónico,Residencial,4.4,69
363,Maule,Básico,Web,Residencial,6.3,8
364,O_Higgins,Estándar,Sucursal,Residencial,4.1,18
365,Coquimbo,Básico,Web,Residencial,8.9,48
366,Valparaíso,Estándar,Web,Residencial,8.1,49
367,Atacama,Estándar,App,Residencial,7.4,72
368,Araucanía,Estándar,Telefónico,Residencial,4.3,2
369,Araucanía,Empresarial,App,Empresarial,7.3,78
370,Araucanía,Básico,Web,Residencial,3.2,37
371,Coquimbo,Estándar,Telefónico,Residencial,4.8,60
372,Valparaíso,Premium,Sucursal,Empresarial,10,41
373,Araucanía,Básico,Sucursal,Residencial,9.1,3
374,Los Lagos,Estándar,Sucursal,Residencial,5.0,26
375,Antofagasta,Básico,Web,Residencial,5.7,33
376,Maule,Empresarial,Sucursal,Residencial,4.9,46
377,Biobío,Básico,Sucursal,Residencial,10,8
378,O_Higgins,Básico,App,Pyme,3.7,7
379,Metropolitana,Estándar,Web,Residencial,7.9,59
380,Antofagasta,Básico,Sucursal,Empresarial,8.2,3
381,Metropolitana,Estándar,Sucursal,Residencial,5.8,37
382,Metropolitana,Estándar,Sucursal,Empresarial,6.9,23
383,Valparaíso,Empresarial,Web,Residencial,6.2,46
384,Los Lagos,Premium,App,Residencial,6.3,52
385,Maule,Estándar,Web,Residencial,7.5,84
386,Metropolitana,Básico,Sucursal,Residencial,6.5,61
387,Metropolitana,Estándar,Web,Residencial,8.7,43
388,Atacama,Empresarial,App,Pyme,5.1,6
389,Araucanía,Básico,Sucursal,Residencial,9.6,36
390,O_Higgins,Estándar,App,Residencial,5.9,41
391,Metropolitana,Empresarial,Web,Empresarial,6.8,10
392,Los Lagos,Básico,Web,Residencial,5.4,50
393,O_Higgins,Básico,Web,Empresarial,6.9,45
394,Metropolitana,Básico,Web,Empresarial,6.5,44
395,Atacama,Premium,Sucursal,Pyme,6.0,58
396,Maule,Básico,Sucursal,Residencial,9.5,75
397,Coquimbo,Básico,Telefónico,Empresarial,7.0,20
398,Coquimbo,Premium,Web,Empresarial,6.5,41
399,Antofagasta,Básico,App,Pyme,4.3,14
400,Biobío,Básico,Sucursal,Residencial,8.2,72
401,O_Higgins,Estándar,App,Residencial,4.9,42
402,Coquimbo,Básico,Sucursal,Residencial,6.4,11
403,O_Higgins,Empresarial,Web,Residencial,8.1,18
404,Los Lagos,Básico,Sucursal,Residencial,8.7,22
405,Coquimbo,Básico,Telefónico,Residencial,8.4,32
406,Maule,Estándar,Web,Residencial,7.8,18
407,Los Lagos,Básico,Sucursal,Residencial,4.8,43
408,Maule,Básico,Web,Residencial,5.0,78
409,Araucanía,Estándar,Web,Pyme,8.7,82
410,Maule,Empresarial,Web,Residencial,6.9,36
411,Coquimbo,Básico,Web,Residencial,4.6,71
412,Metropolitana,Empresarial,Sucursal,Pyme,6.4,27
413,Maule,Premium,App,Empresarial,7.7,64
414,Biobío,Estándar,Web,Residencial,5.4,20
415,Coquimbo,Premium,App,Residencial,5.3,69
416,O_Higgins,Empresarial,Sucursal,Residencial,5.8,47
417,O_Higgins,Estándar,App,Residencial,7.2,22
418,Atacama,Básico,Sucursal,Pyme,9.9,43
419,Coquimbo,Básico,App,Residencial,5.0,75
420,Atacama,Básico,Telefónico,Residencial,7.1,76
421,O_Higgins,Básico,App,Residencial,6.1,11
422,Valparaíso,Premium,Web,Residencial,10,44
423,Maule,Premium,Sucursal,Residencial,9.6,58
424,Antofagasta,Básico,App,Empresarial,8.9,15
425,Metropolitana,Premium,App,Empresarial,9.9,32
426,O_Higgins,Básico,Web,Residencial,10,55
427,Maule,Básico,Sucursal,Empresarial,8.2,51
428,Metropolitana,Premium,Web,Residencial,9.6,55
429,Coquimbo,Básico,Web,Residencial,7.2,9
430,Atacama,Básico,Web,Residencial,3.9,26
431,Maule,Básico,Sucursal,Residencial,5.6,79
432,Coquimbo,Estándar,Telefónico,Residencial,5.3,59
433,Atacama,Básico,Telefónico,Pyme,4.9,41
434,Valparaíso,Básico,App,Residencial,5.8,19
435,O_Higgins,Básico,Web,Residencial,5.4,69
436,Biobío,Estándar,Sucursal,Residencial,8.2,24
437,Antofagasta,Premium,App,Pyme,9.2,25
438,Coquimbo,Empresarial,Sucursal,Residencial,6.6,63
439,Coquimbo,Premium,Sucursal,Residencial,7.6,29
440,Los Lagos,Básico,Web,Residencial,7.4,22
441,Maule,Estándar,Sucursal,Residencial,7.9,70
442,Antofagasta,Estándar,App,Empresarial,7.8,57
443,O_Higgins,Básico,Sucursal,Residencial,8.6,39
444,Metropolitana,Estándar,Telefónico,Pyme,4.6,12
445,Maule,Premium,App,Empresarial,7.5,76
446,Antofagasta,Premium,Sucursal,Residencial,10,18
447,Araucanía,Premium,App,Residencial,4.8,22
448,Antofagasta,Empresarial,Telefónico,Residencial,6.7,35
449,O_Higgins,Empresarial,App,Residencial,7.2,8
450,Los Lagos,Premium,Web,Empresarial,5.3,17
451,Araucanía,Básico,Telefónico,Empresarial,7.4,63
452,Biobío,Estándar,Telefónico,Empresarial,4.5,49
453,Maule,Básico,App,Residencial,7.2,48
454,Maule,Empresarial,Telefónico,Residencial,4.4,12
455,Maule,Estándar,Telefónico,Pyme,7.7,55
456,Araucanía,Estándar,Telefónico,Empresarial,5.5,44
457,O_Higgins,Estándar,Sucursal,Empresarial,9.6,6
458,Valparaíso,Estándar,Sucursal,Residencial,5.3,21
459,Maule,Estándar,Sucursal,Residencial,6.8,84
460,Los Lagos,Básico,Telefónico,Residencial,6.3,47
461,Los Lagos,Básico,Web,Residencial,5.2,30
462,Coquimbo,Estándar,App,Residencial,5.1,62
463,Valparaíso,Básico,Web,Residencial,7.0,44
464,Valparaíso,Empresarial,Sucursal,Empresarial,7.3,62
465,Valparaíso,Básico,App,Empresarial,8.4,39
466,Biobío,Básico,Web,Empresarial,8.1,19
467,Valparaíso,Estándar,App,Empresarial,8.1,28
468,Biobío,Empresarial,Sucursal,Pyme,8.6,12
469,Valparaíso,Básico,App,Residencial,3.7,41
470,Biobío,Básico,App,Residencial,10,77
471,Atacama,Premium,Telefónico,Empresarial,5.9,39
472,Araucanía,Estándar,Web,Empresarial,3.9,38
473,Metropolitana,Premium,Web,Residencial,8.8,77
474,Valparaíso,Estándar,App,Pyme,8.6,41
475,Biobío,Básico,Sucursal,Residencial,6.0,10
476,Metropolitana,Estándar,App,Residencial,4.4,6
477,Metropolitana,Empresarial,Sucursal,Residencial,5.7,54
478,Coquimbo,Premium,App,Empresarial,5.7,69
479,Atacama,Básico,App,Residencial,6.0,20
480,O_Higgins,Básico,App,Residencial,7.1,56
481,Araucanía,Básico,App,Pyme,9.0,8
482,Los Lagos,Estándar,Web,Residencial,8.9,18
483,Metropolitana,Básico,Telefónico,Residencial,7.8,22
484,Antofagasta,Básico,Telefónico,Empresarial,4.4,16
485,Metropolitana,Básico,Sucursal,Residencial,9.8,74
486,Valparaíso,Estándar,Telefónico,Residencial,8.3,73
487,Biobío,Básico,Telefónico,Empresarial,9.3,15
488,Araucanía,Premium,App,Residencial,5.5,2
489,Araucanía,Básico,Telefónico,Residencial,9.6,5
490,O_Higgins,Premium,Sucursal,Residencial,10,32
491,Coquimbo,Empresarial,Telefónico,Residencial,8.7,65
492,Metropolitana,Básico,App,Pyme,8.0,9
