id_estudiante,sede,region,modalidad,jornada,programa,anio_cursado
EST000078,MET01,Metropolitana,Presencial,Diurno,Contabilidad,3
EST000079,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,3
EST000080,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000081,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000082,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,4
EST000083,MET01,Metropolitana,A distancia,Vespertino,Enfermería,4
EST000084,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,2
EST000085,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,3
EST000086,MET01,Metropolitana,Presencial,Diurno,Gastronomía,1
EST000087,MET01,Metropolitana,A distancia,Vespertino,Administración,4
EST000088,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000089,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,4
EST000090,MET01,Metropolitana,A distancia,Diurno,Informática,1
EST000091,MET01,Metropolitana,A distancia,Vespertino,Diseño Gráfico,1
EST000092,MET01,Metropolitana,Presencial,Diurno,Electricidad,1
EST000093,MET01,Metropolitana,A distancia,Diurno,Enfermería,4
EST000094,MET01,Metropolitana,A distancia,Diurno,Administración,3
EST000095,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,3
EST000096,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,3
EST000097,MET01,Metropolitana,Presencial,Diurno,Logística,4
EST000098,MET01,Metropolitana,Presencial,Vespertino,Enfermería,4
EST000099,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,1
EST000100,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,4
EST000101,MET01,Metropolitana,Presencial,Diurno,Contabilidad,3
EST000102,MET01,Metropolitana,A distancia,Vespertino,Enfermería,3
EST000103,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,3
EST000104,MET01,Metropolitana,Presencial,Diurno,Electricidad,4
EST000105,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,4
EST000106,MET01,Metropolitana,A distancia,Diurno,Enfermería,2
EST000107,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,1
EST000108,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,3
EST000109,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000110,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,2
EST000111,MET01,Metropolitana,A distancia,Vespertino,Gastronomía,4
EST000112,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,2
EST000113,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,3
EST000114,MET01,Metropolitana,Presencial,Diurno,Electricidad,2
EST000115,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,4
EST000116,MET01,Metropolitana,Presencial,Diurno,Enfermería,2
EST000117,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,1
EST000118,MET01,Metropolitana,Presencial,Vespertino,Electricidad,3
EST000119,MET01,Metropolitana,A distancia,Diurno,Electricidad,2
EST000120,MET01,Metropolitana,A distancia,Vespertino,Gastronomía,4
EST000121,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,3
EST000122,MET01,Metropolitana,Presencial,Diurno,Informática,2
EST000123,MET01,Metropolitana,A distancia,Diurno,Gastronomía,2
EST000124,MET01,Metropolitana,Presencial,Diurno,Gastronomía,3
EST000125,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,3
EST000126,MET01,Metropolitana,Presencial,Vespertino,Enfermería,1
EST000127,MET01,Metropolitana,Presencial,Diurno,Electricidad,4
EST000128,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,3
EST000129,MET01,Metropolitana,Presencial,Diurno,Logística,3
EST000130,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000131,MET01,Metropolitana,A distancia,Diurno,Informática,1
EST000132,MET01,Metropolitana,Presencial,Diurno,Gastronomía,4
EST000133,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,3
EST000134,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000135,MET01,Metropolitana,Presencial,Diurno,Enfermería,3
EST000136,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,2
EST000137,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,1
EST000138,MET01,Metropolitana,Presencial,Diurno,Contabilidad,2
EST000139,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,1
EST000140,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,2
EST000141,MET01,Metropolitana,Presencial,Diurno,Electricidad,4
EST000142,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,1
EST000143,MET01,Metropolitana,A distancia,Diurno,Gastronomía,2
EST000144,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,4
EST000145,MET01,Metropolitana,Presencial,Diurno,Electricidad,1
EST000146,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,4
EST000147,MET01,Metropolitana,Presencial,Diurno,Administración,2
EST000148,MET01,Metropolitana,Presencial,Diurno,Contabilidad,4
EST000149,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,2
EST000150,MET01,Metropolitana,Presencial,Vespertino,Enfermería,2
EST000151,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,2
EST000152,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000153,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,1
EST000154,MET01,Metropolitana,A distancia,Vespertino,Administración,3
EST000155,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,1
EST000156,MET01,Metropolitana,Presencial,Diurno,Electricidad,2
EST000157,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,3
EST000158,MET01,Metropolitana,A distancia,Diurno,Administración,4
EST000159,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,4
EST000160,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,4
EST000161,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,1
EST000162,MET01,Metropolitana,A distancia,Diurno,Contabilidad,3
EST000163,MET01,Metropolitana,Presencial,Diurno,Electricidad,4
EST000164,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,2
EST000165,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000166,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,3
EST000167,MET01,Metropolitana,Presencial,Diurno,Logística,3
EST000168,MET01,Metropolitana,Presencial,Diurno,Electricidad,1
EST000169,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,2
EST000170,MET01,Metropolitana,A distancia,Diurno,Contabilidad,3
EST000171,MET01,Metropolitana,A distancia,Diurno,Contabilidad,3
EST000172,MET01,Metropolitana,Presencial,Vespertino,Enfermería,2
EST000173,MET01,Metropolitana,Presencial,Diurno,Informática,3
EST000174,MET01,Metropolitana,A distancia,Vespertino,Mecánica Automotriz,1
EST000175,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,2
EST000176,MET01,Metropolitana,A distancia,Diurno,Informática,1
EST000177,MET01,Metropolitana,Presencial,Diurno,Logística,4
EST000178,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000179,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,4
EST000180,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,3
EST000181,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,1
EST000182,MET01,Metropolitana,Presencial,Diurno,Enfermería,3
EST000183,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000184,MET01,Metropolitana,Presencial,Vespertino,Logística,3
EST000185,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,2
EST000186,MET01,Metropolitana,A distancia,Vespertino,Electricidad,4
EST000187,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,4
EST000188,MET01,Metropolitana,A distancia,Diurno,Enfermería,4
EST000189,MET01,Metropolitana,Presencial,Diurno,Logística,4
EST000190,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,1
EST000191,MET01,Metropolitana,Presencial,Diurno,Enfermería,2
EST000192,MET01,Metropolitana,Presencial,Vespertino,Logística,3
EST000193,MET01,Metropolitana,Presencial,Diurno,Gastronomía,1
EST000194,MET01,Metropolitana,Presencial,Vespertino,Electricidad,4
EST000195,MET01,Metropolitana,Presencial,Vespertino,Electricidad,2
EST000196,MET01,Metropolitana,A distancia,Vespertino,Informática,1
EST000197,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,3
EST000198,MET01,Metropolitana,Presencial,Diurno,Contabilidad,1
EST000199,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,3
EST000200,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,2
EST000201,MET01,Metropolitana,Presencial,Diurno,Enfermería,3
EST000202,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,3
EST000203,MET01,Metropolitana,Presencial,Diurno,Informática,1
EST000204,MET01,Metropolitana,Presencial,Diurno,Enfermería,3
EST000205,MET01,Metropolitana,Presencial,Vespertino,Enfermería,2
EST000206,MET01,Metropolitana,A distancia,Diurno,Administración,1
EST000207,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000208,MET01,Metropolitana,A distancia,Diurno,Electricidad,3
EST000209,MET01,Metropolitana,Presencial,Vespertino,Informática,2
EST000210,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,2
EST000211,MET01,Metropolitana,A distancia,Vespertino,Informática,2
EST000212,MET01,Metropolitana,A distancia,Vespertino,Mecánica Automotriz,2
EST000213,MET01,Metropolitana,Presencial,Vespertino,Logística,1
EST000214,MET01,Metropolitana,A distancia,Diurno,Contabilidad,2
EST000215,MET01,Metropolitana,Presencial,Diurno,Enfermería,2
EST000216,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,1
EST000217,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000218,MET01,Metropolitana,A distancia,Vespertino,Logística,2
EST000219,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,2
EST000220,MET01,Metropolitana,A distancia,Diurno,Gastronomía,2
EST000221,MET01,Metropolitana,Presencial,Diurno,Logística,2
EST000222,MET01,Metropolitana,A distancia,Vespertino,Administración,4
EST000223,MET01,Metropolitana,A distancia,Diurno,Contabilidad,4
EST000224,MET01,Metropolitana,Presencial,Diurno,Enfermería,4
EST000225,MET01,Metropolitana,Presencial,Vespertino,Informática,3
EST000226,MET01,Metropolitana,A distancia,Vespertino,Gastronomía,3
EST000227,MET01,Metropolitana,Presencial,Vespertino,Electricidad,4
EST000228,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,1
EST000229,MET01,Metropolitana,A distancia,Diurno,Informática,4
EST000230,MET01,Metropolitana,Presencial,Diurno,Informática,2
EST000231,MET01,Metropolitana,A distancia,Vespertino,Informática,2
EST000232,MET01,Metropolitana,Presencial,Vespertino,Informática,4
EST000233,MET01,Metropolitana,Presencial,Diurno,Logística,4
EST000234,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,4
EST000235,MET01,Metropolitana,Presencial,Diurno,Gastronomía,2
EST000236,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000237,MET01,Metropolitana,A distancia,Vespertino,Informática,3
EST000238,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,2
EST000239,MET01,Metropolitana,Presencial,Diurno,Contabilidad,1
EST000240,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,1
EST000241,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,4
EST000242,MET01,Metropolitana,Presencial,Vespertino,Logística,1
EST000243,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000244,MET01,Metropolitana,Presencial,Diurno,Contabilidad,2
EST000245,MET01,Metropolitana,A distancia,Vespertino,Diseño Gráfico,2
EST000246,MET01,Metropolitana,Presencial,Diurno,Gastronomía,3
EST000247,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,4
EST000248,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,3
EST000249,MET01,Metropolitana,A distancia,Vespertino,Enfermería,2
EST000250,MET01,Metropolitana,Presencial,Diurno,Informática,3
EST000251,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,3
EST000252,MET01,Metropolitana,Presencial,Diurno,Informática,2
EST000253,MET01,Metropolitana,Presencial,Diurno,Administración,3
EST000254,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000255,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000256,MET01,Metropolitana,A distancia,Diurno,Gastronomía,4
EST000257,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,2
EST000258,MET01,Metropolitana,Presencial,Diurno,Logística,4
EST000259,MET01,Metropolitana,A distancia,Diurno,Administración,2
EST000260,MET01,Metropolitana,Presencial,Vespertino,Informática,3
EST000261,MET01,Metropolitana,A distancia,Diurno,Logística,3
EST000262,MET01,Metropolitana,A distancia,Diurno,Contabilidad,4
EST000263,MET01,Metropolitana,Presencial,Vespertino,Administración,4
EST000264,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,4
EST000265,MET01,Metropolitana,A distancia,Diurno,Administración,3
EST000266,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,4
EST000267,MET01,Metropolitana,A distancia,Vespertino,Electricidad,4
EST000268,MET01,Metropolitana,Presencial,Diurno,Gastronomía,1
EST000269,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,3
EST000270,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,3
EST000271,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,2
EST000272,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,3
EST000273,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000274,MET01,Metropolitana,A distancia,Vespertino,Logística,1
EST000275,MET01,Metropolitana,Presencial,Diurno,Logística,2
EST000276,MET01,Metropolitana,Presencial,Diurno,Gastronomía,3
EST000277,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,3
EST000278,MET01,Metropolitana,Presencial,Vespertino,Electricidad,4
EST000279,MET01,Metropolitana,Presencial,Vespertino,Electricidad,4
EST000280,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,2
EST000281,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000282,MET01,Metropolitana,Presencial,Diurno,Informática,1
EST000283,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,2
EST000284,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,1
EST000285,MET01,Metropolitana,A distancia,Diurno,Gastronomía,4
EST000286,MET01,Metropolitana,A distancia,Vespertino,Mecánica Automotriz,2
EST000287,MET01,Metropolitana,Presencial,Diurno,Logística,2
EST000288,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,4
EST000289,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,3
EST000290,MET01,Metropolitana,A distancia,Vespertino,Diseño Gráfico,3
EST000291,MET01,Metropolitana,A distancia,Diurno,Administración,2
EST000292,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000293,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,3
EST000294,MET01,Metropolitana,A distancia,Diurno,Contabilidad,3
EST000295,MET01,Metropolitana,A distancia,Diurno,Gastronomía,4
EST000296,MET01,Metropolitana,Presencial,Diurno,Electricidad,3
EST000297,MET01,Metropolitana,Presencial,Vespertino,Administración,3
EST000298,MET01,Metropolitana,Presencial,Vespertino,Administración,1
EST000299,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,4
EST000300,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,2
EST000301,MET01,Metropolitana,Presencial,Vespertino,Electricidad,2
EST000302,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,3
EST000303,MET01,Metropolitana,Presencial,Vespertino,Logística,3
EST000304,MET01,Metropolitana,A distancia,Diurno,Enfermería,3
EST000305,MET01,Metropolitana,A distancia,Vespertino,Gastronomía,2
EST000306,MET01,Metropolitana,A distancia,Diurno,Informática,2
EST000307,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,2
EST000308,MET01,Metropolitana,Presencial,Diurno,Gastronomía,1
EST000309,MET01,Metropolitana,Presencial,Vespertino,Administración,3
EST000310,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,4
EST000311,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,1
EST000312,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,3
EST000313,MET01,Metropolitana,Presencial,Diurno,Logística,3
EST000314,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,3
EST000315,MET01,Metropolitana,A distancia,Vespertino,Mecánica Automotriz,2
EST000316,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,4
EST000317,MET01,Metropolitana,Presencial,Diurno,Administración,2
EST000318,MET01,Metropolitana,A distancia,Vespertino,Logística,2
EST000319,MET01,Metropolitana,A distancia,Vespertino,Diseño Gráfico,3
EST000320,MET01,Metropolitana,Presencial,Diurno,Contabilidad,3
EST000321,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,1
EST000322,MET01,Metropolitana,Presencial,Diurno,Enfermería,4
EST000323,MET01,Metropolitana,A distancia,Diurno,Diseño Gráfico,3
EST000324,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,3
EST000325,MET01,Metropolitana,A distancia,Diurno,Logística,1
EST000326,MET01,Metropolitana,Presencial,Vespertino,Informática,4
EST000327,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000328,MET01,Metropolitana,Presencial,Vespertino,Administración,2
EST000329,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,4
EST000330,MET01,Metropolitana,Presencial,Diurno,Contabilidad,3
EST000331,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,2
EST000332,MET01,Metropolitana,A distancia,Diurno,Contabilidad,4
EST000333,MET01,Metropolitana,Presencial,Diurno,Gastronomía,2
EST000334,MET01,Metropolitana,Presencial,Diurno,Informática,3
EST000335,MET01,Metropolitana,A distancia,Diurno,Informática,1
EST000336,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,2
EST000337,MET01,Metropolitana,Presencial,Vespertino,Enfermería,3
EST000338,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,2
EST000339,MET01,Metropolitana,A distancia,Diurno,Logística,1
EST000340,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,2
EST000341,MET01,Metropolitana,A distancia,Vespertino,Informática,2
EST000342,MET01,Metropolitana,Presencial,Diurno,Logística,2
EST000343,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,3
EST000344,MET01,Metropolitana,Presencial,Vespertino,Electricidad,1
EST000345,MET01,Metropolitana,Presencial,Diurno,Contabilidad,4
EST000346,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,4
EST000347,MET01,Metropolitana,A distancia,Diurno,Electricidad,1
EST000348,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,4
EST000349,MET01,Metropolitana,Presencial,Diurno,Administración,3
EST000350,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,2
EST000351,MET01,Metropolitana,Presencial,Diurno,Administración,1
EST000352,MET01,Metropolitana,A distancia,Vespertino,Mecánica Automotriz,1
EST000353,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,4
EST000354,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,3
EST000355,MET01,Metropolitana,A distancia,Diurno,Gastronomía,1
EST000356,MET01,Metropolitana,A distancia,Vespertino,Electricidad,3
EST000357,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,2
EST000358,MET01,Metropolitana,A distancia,Diurno,Enfermería,4
EST000359,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,3
EST000360,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,1
EST000361,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,4
EST000362,MET01,Metropolitana,Presencial,Diurno,Gastronomía,2
EST000363,MET01,Metropolitana,Presencial,Diurno,Administración,3
EST000364,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000365,MET01,Metropolitana,A distancia,Vespertino,Diseño Gráfico,3
EST000366,MET01,Metropolitana,Presencial,Diurno,Administración,4
EST000367,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,3
EST000368,MET01,Metropolitana,Presencial,Vespertino,Logística,2
EST000369,MET01,Metropolitana,Presencial,Diurno,Enfermería,4
EST000370,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,2
EST000371,MET01,Metropolitana,Presencial,Vespertino,Administración,4
EST000372,MET01,Metropolitana,A distancia,Diurno,Gastronomía,3
EST000373,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,1
EST000374,MET01,Metropolitana,Presencial,Vespertino,Logística,1
EST000375,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,4
EST000376,MET01,Metropolitana,A distancia,Diurno,Administración,1
EST000377,MET01,Metropolitana,Presencial,Vespertino,Contabilidad,3
EST000378,MET01,Metropolitana,Presencial,Vespertino,Informática,4
EST000379,MET01,Metropolitana,A distancia,Diurno,Contabilidad,2
EST000380,MET01,Metropolitana,Presencial,Vespertino,Administración,4
EST000381,MET01,Metropolitana,Presencial,Vespertino,Administración,3
EST000382,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,4
EST000383,MET01,Metropolitana,Presencial,Diurno,Logística,4
EST000384,MET01,Metropolitana,Presencial,Diurno,Informática,1
EST000385,MET01,Metropolitana,Presencial,Vespertino,Logística,2
EST000386,MET01,Metropolitana,Presencial,Diurno,Contabilidad,1
EST000387,MET01,Metropolitana,Presencial,Diurno,Contabilidad,4
EST000388,MET01,Metropolitana,Presencial,Vespertino,Informática,1
EST000389,MET01,Metropolitana,Presencial,Vespertino,Logística,2
EST000390,MET01,Metropolitana,Presencial,Diurno,Contabilidad,2
EST000391,MET01,Metropolitana,A distancia,Diurno,Logística,1
EST000392,MET01,Metropolitana,Presencial,Vespertino,Electricidad,3
EST000393,MET01,Metropolitana,Presencial,Vespertino,Electricidad,4
EST000394,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,2
EST000395,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,2
EST000396,MET01,Metropolitana,A distancia,Vespertino,Contabilidad,4
