id_usuario,genero,edad,categoria_usuario,min_conexion_dia,modulos_completados
U109,F,38,gratuito,5,2
U110,F,23,pagado,91,12
U111,F,57,pagado,86,10
U112,M,65,gratuito,14,1
U113,F,54,gratuito,34,4
U114,M,39,institucional,64,8
U115,F,29,pagado,31,6
U116,F,43,institucional,88,11
U117,F,34,pagado,58,8
U118,F,23,gratuito,24,3
U119,F,22,institucional,63,7
U120,M,54,pagado,47,5
U121,F,64,gratuito,15,2
U122,M,31,pagado,32,6
U123,F,58,pagado,81,9
U124,F,43,pagado,44,6
U125,M,31,gratuito,39,6
U126,F,62,pagado,77,12
U127,M,40,gratuito,17,3
U128,M,29,institucional,87,12
U129,M,52,pagado,56,8
U130,M,54,institucional,81,10
U131,F,53,pagado,47,5
U132,M,29,gratuito,42,5
U133,F,44,pagado,63,8
U134,F,30,gratuito,24,2
U135,M,59,pagado,45,7
U136,F,18,pagado,40,7
U137,F,37,pagado,24,3
U138,M,32,gratuito,25,3
U139,F,17,gratuito,5,0
U140,F,43,gratuito,37,5
U141,M,35,pagado,63,8
U142,M,36,pagado,61,8
U143,F,47,pagado,61,8
U144,F,36,institucional,69,9
U145,M,54,gratuito,5,1
U146,M,27,pagado,30,2
U147,M,53,gratuito,21,3
U148,F,36,pagado,37,5
U149,F,57,gratuito,26,4
U150,M,27,pagado,47,8
U151,F,37,institucional,80,10
U152,F,46,pagado,59,6
U153,F,33,gratuito,21,3
U154,M,61,institucional,75,11
U155,F,34,gratuito,49,5
U156,F,23,gratuito,29,4
U157,F,30,gratuito,39,6
U158,M,27,gratuito,21,3
U159,F,29,institucional,61,8
U160,M,29,institucional,78,11
U161,M,30,gratuito,19,2
U162,M,51,pagado,33,3
U163,M,52,pagado,67,6
U164,M,45,gratuito,29,2
U165,M,42,gratuito,26,3
U166,M,39,institucional,72,8
U167,F,23,pagado,45,6
U168,M,49,pagado,51,5
U169,M,54,pagado,63,7
U170,M,49,pagado,43,6
U171,F,23,pagado,52,6
U172,M,43,pagado,46,8
U173,M,51,institucional,63,9
U174,M,35,gratuito,54,6
U175,M,42,pagado,19,1
U176,M,30,pagado,63,8
U177,F,25,gratuito,24,4
U178,F,24,pagado,55,8
U179,M,18,institucional,90,12
U180,F,30,gratuito,7,0
U181,M,31,gratuito,5,1
U182,F,48,gratuito,11,3
U183,F,50,institucional,79,9
U184,M,55,pagado,38,5
U185,F,65,gratuito,18,3
U186,M,25,pagado,41,5
U187,M,27,gratuito,33,5
U188,M,32,gratuito,19,3
U189,F,50,institucional,61,7
U190,F,44,gratuito,41,6
U191,F,60,pagado,39,6
U192,M,34,pagado,39,5
U193,F,54,gratuito,45,5
U194,M,30,institucional,78,10
U195,F,32,gratuito,51,7
U196,F,59,pagado,17,1
U197,M,23,gratuito,18,5
U198,M,51,pagado,64,8
U199,M,53,gratuito,41,4
U200,F,22,gratuito,18,2
