id_cliente,mes,edad,tipo_producto,ingreso_anual,compras_anuales,ventas_mensuales
C0049,Diciembre,37,Ropa,44900,25,17200
C0050,Octubre,63,Hogar,38500,20,21200
C0051,Junio,36,Ropa,48300,26,21000
C0052,Marzo,42,Ropa,42700,8,18500
C0053,Abril,44,Hogar,8000,40,4200
C0054,Mayo,35,Hogar,41800,22,17600
C0055,Septiembre,59,Ropa,71500,24,28500
C0056,Abril,64,Ropa,52600,12,26100
C0057,Mayo,65,Ropa,50200,34,29700
C0058,Febrero,53,Alimentos,47300,3,20000
C0059,Mayo,49,Alimentos,32600,20,19400
C0060,Julio,66,Hogar,51100,16,19800
C0061,Octubre,64,Alimentos,64500,33,27400
C0062,Enero,47,Alimentos,25300,26,12000
C0063,Octubre,32,Electrónica,47600,30,23400
C0064,Marzo,34,Alimentos,52600,10,31300
C0065,Septiembre,62,Hogar,23400,16,10700
C0066,Mayo,60,Alimentos,46400,16,15300
C0067,Octubre,29,Electrónica,27900,41,15000
C0068,Octubre,39,Alimentos,45400,39,21100
C0069,Abril,68,Alimentos,37600,19,20100
C0070,Mayo,42,Deportes,38700,45,20300
C0071,Mayo,28,Alimentos,57500,32,23300
C0072,Enero,29,Ropa,18400,18,6900
C0073,Septiembre,42,Electrónica,44700,11,17500
C0074,Marzo,34,Deportes,55500,38,19200
C0075,Mayo,58,Electrónica,59900,18,19900
C0076,Enero,46,Hogar,46500,42,22500
C0077,Noviembre,20,Electrónica,51400,43,30600
C0078,Agosto,67,Hogar,36300,24,12800
C0079,Febrero,24,Hogar,51400,19,16700
C0080,Abril,28,Electrónica,57200,11,29500
C0081,Enero,54,Deportes,70400,27,36100
C0082,Abril,20,Alimentos,66000,35,37400
C0083,Junio,47,Ropa,63300,22,24800
C0084,Julio,26,Hogar,28300,29,14500
C0085,Febrero,20,Alimentos,30600,21,14200
C0086,Agosto,31,Alimentos,60500,20,30400
C0087,Junio,61,Electrónica,49000,25,21700
C0088,Junio,24,Alimentos,48400,36,24700
C0089,Julio,63,Alimentos,42800,29,17900
C0090,Julio,32,Alimentos,31500,33,16200
C0091,Abril,58,Ropa,53900,46,21100
C0092,Febrero,54,Deportes,44200,18,13300
C0093,Julio,21,Alimentos,54600,36,16500
C0094,Junio,50,Hogar,45700,19,18100
C0095,Junio,55,Electrónica,47600,9,16000
C0096,Julio,53,Deportes,60300,14,21800
C0097,Abril,63,Hogar,40500,13,22000
C0098,Junio,21,Alimentos,33200,25,13300
C0099,Julio,62,Alimentos,45400,20,25000
C0100,Junio,38,Alimentos,52700,14,24400
C0101,Enero,61,Alimentos,49000,20,24200
C0102,Abril,48,Alimentos,90600,21,45500
C0103,Mayo,31,Alimentos,70700,13,40700
C0104,Noviembre,59,Hogar,50300,33,20200
C0105,Octubre,30,Alimentos,42400,25,20300
C0106,Diciembre,62,Alimentos,51100,40,19800
C0107,Febrero,52,Electrónica,57300,45,24600
C0108,Abril,19,Deportes,47900,32,19700
C0109,Febrero,34,Alimentos,68500,47,28700
C0110,Febrero,31,Hogar,54600,15,21700
C0111,Septiembre,49,Alimentos,35700,19,16900
C0112,Abril,31,Deportes,65300,24,27600
C0113,Enero,51,Ropa,38500,26,18300
C0114,Octubre,42,Alimentos,49000,28,19700
C0115,Junio,67,Hogar,19000,8,6200
C0116,Abril,34,Deportes,57600,14,34100
C0117,Enero,31,Hogar,46900,32,19500
C0118,Marzo,41,Ropa,62500,31,22400
C0119,Diciembre,53,Electrónica,53500,6,25800
C0120,Mayo,44,Electrónica,36600,50,11600
C0121,Abril,53,Ropa,52800,38,19400
C0122,Noviembre,63,Ropa,91400,38,30600
C0123,Marzo,60,Ropa,36200,15,14500
C0124,Septiembre,45,Hogar,25200,26,8300
C0125,Abril,39,Alimentos,49900,21,15800
C0126,Abril,63,Ropa,38900,24,23000
C0127,Noviembre,25,Alimentos,69400,21,22300
C0128,Noviembre,68,Hogar,64100,23,28700
C0129,Marzo,28,Electrónica,28300,30,12800
C0130,Octubre,41,Hogar,55300,14,26500
C0131,Marzo,63,Deportes,19300,25,9100
C0132,Mayo,62,Electrónica,49400,28,26600
C0133,Septiembre,48,Hogar,27600,40,12800
C0134,Abril,37,Electrónica,43200,25,17700
C0135,Octubre,24,Alimentos,38800,19,13900
C0136,Enero,29,Electrónica,65400,25,36000
C0137,Enero,38,Ropa,55600,17,19600
C0138,Septiembre,64,Electrónica,33900,14,10500
C0139,Abril,34,Alimentos,41800,22,22600
C0140,Abril,47,Electrónica,48000,28,21300
C0141,Julio,31,Alimentos,29000,32,12600
C0142,Abril,44,Hogar,64600,27,27600
C0143,Junio,63,Deportes,52500,11,27200
C0144,Diciembre,40,Electrónica,58500,25,26300
C0145,Junio,27,Hogar,39500,35,17200
C0146,Octubre,24,Electrónica,47000,28,19100
C0147,Marzo,18,Ropa,46100,40,19100
C0148,Agosto,50,Hogar,26300,19,12500
C0149,Enero,25,Hogar,53900,21,31600
C0150,Abril,68,Ropa,37900,10,12600
C0151,Marzo,37,Ropa,40200,36,21200
C0152,Septiembre,49,Hogar,19800,42,10700
C0153,Junio,31,Alimentos,16700,28,6600
C0154,Julio,20,Alimentos,58000,46,33400
C0155,Noviembre,54,Alimentos,39300,24,22400
C0156,Diciembre,39,Alimentos,60100,24,25300
C0157,Octubre,59,Ropa,78600,34,26000
C0158,Julio,35,Ropa,43900,24,20100
C0159,Marzo,26,Alimentos,60700,15,35300
C0160,Mayo,63,Alimentos,66900,21,27400
C0161,Diciembre,50,Deportes,57900,20,29500
C0162,Abril,36,Hogar,8000,22,3600
C0163,Agosto,64,Hogar,62300,11,23100
C0164,Enero,57,Hogar,63900,33,28500
C0165,Mayo,59,Ropa,32000,12,16700
C0166,Noviembre,64,Electrónica,22300,26,10600
C0167,Abril,24,Electrónica,31400,26,14100
C0168,Agosto,41,Ropa,77100,15,28000
C0169,Octubre,36,Ropa,36900,22,19900
C0170,Abril,59,Deportes,57000,8,22500
C0171,Julio,22,Hogar,37800,46,20500
C0172,Enero,36,Electrónica,59400,24,24100
C0173,Octubre,35,Alimentos,49500,19,19000
C0174,Julio,66,Ropa,32700,28,10400
C0175,Julio,38,Alimentos,68900,30,22000
C0176,Abril,66,Alimentos,31700,13,11300
C0177,Diciembre,38,Alimentos,27100,19,15100
C0178,Diciembre,22,Electrónica,32600,21,18900
C0179,Marzo,56,Ropa,41900,16,24400
C0180,Abril,28,Ropa,61500,31,33600
C0181,Febrero,59,Deportes,48700,8,23600
C0182,Junio,21,Alimentos,93600,32,39400
C0183,Marzo,21,Alimentos,43400,21,15100
C0184,Octubre,59,Ropa,51000,21,19300
C0185,Septiembre,34,Electrónica,68500,30,22200
C0186,Septiembre,46,Electrónica,52500,15,21600
C0187,Diciembre,42,Electrónica,40300,19,13800
C0188,Agosto,32,Hogar,53100,19,18300
C0189,Abril,34,Alimentos,29300,12,14100
C0190,Mayo,61,Alimentos,37000,17,19800
C0191,Mayo,36,Alimentos,33200,26,12600
C0192,Diciembre,26,Alimentos,22200,21,11400
C0193,Octubre,45,Ropa,74400,18,34100
C0194,Octubre,43,Alimentos,62000,16,31400
C0195,Enero,32,Hogar,55500,26,18600
C0196,Junio,51,Electrónica,32500,36,13300
C0197,Marzo,66,Hogar,41900,14,17100
C0198,Junio,33,Alimentos,57700,26,34400
C0199,Septiembre,60,Alimentos,46800,23,27000
C0200,Octubre,67,Deportes,48900,41,21300
