Fecha,Producto,Categoria,Region,Monto,Stock,ID_Cliente
17/04/2024,Fuente Poder 750W,Cómputo,Centro,121.95,9.0,C047
18-10-2024,Mini PC Intel NUC,Cómputo,Oeste,509.11,13.0,C048
18-10-2024,MINI PC INTEL NUC,cómputo,Oeste,509.11,13.0,C049
07-05-2024,iPhone 15,Telefonía,Este,1123.89,8.0,C050
30/06/2024,"Funda Laptop 15""",Accesorios,Este,23.33,,C051
17/01/2024,gabinete atx corsair,Cómputo,Oeste,98.29,11.0,C052
28/04/2024,Samsung Galaxy S24,Telefonía,Oeste,896.37,7.0,C053
09-10-2024,disco ssd 1tb,Tecnología,Centro,127.7,15.0,C054
14-09-2024,Protector Pantalla,Telefonía,Este,10.39,200.0,C055
18/11/2024,Hub USB-C 7 en 1,Accesorios,Este,41.16,46.0,C056
18/11/2024,HUB USB-C 7 EN 1,Accesorios,Este,41.16,46.0,C057
07/05/2024,"Monitor 24""",Tecnología,Sur,254.38,12.0,C058
01/10/2024,Gabinete ATX Corsair,Cómputo,Este,98.4,10.0,C059
14-08-2024,Laptop Dell XPS,Tecnología,Oeste,1210.2,11.0,C060
30-04-2024,Mini PC Intel NUC,Cómputo,Este,477.94,14.0,C061
10/21/2024,"Funda Laptop 15""",Accesorios,Este,23.33,60.0,C062
16/10/2024,Samsung Galaxy S24,Telefonía,Centro,893.92,9.0,C063
04/09/2024,iPhone 15,Telefonía,Sur,1082.23,6.0,C064
02/05/2024,iPhone 15,Telefonía,Oeste,1153.21,7.0,C065
05/11/2024,Mini PC Intel NUC,Cómputo,Este,479.87,12.0,C066
04/07/2024,Router WiFi 6,TECNOLOGÍA,Oeste,114.59,15.0,C067
05/02/2024,powerbank 20000mah,accesorios,Oeste,37.69,34.0,C068
03-03-2024,gabinete atx corsair,Cómputo,Oeste,98.73,10.0,C069
16/09/2024,Samsung Galaxy S24,Telefonía,Centro,859.81,14.0,C070
09/06/2024,Soporte Monitor,Accesorios,Sur,54.0,23.0,C071
23/04/2024,Laptop HP,Tecnología,Centro,930.92,14.0,C072
16/01/2024,Laptop Dell XPS,Tecnología,Oeste,1153.78,11.0,C073
10/06/2024,Organizador Cables,Accesorios,Oeste,14.48,93.0,C074
23-04-2024,Samsung Galaxy S24,Telefonía,Oeste,912.76,15.0,C075
27/07/2024,Teclado Mecánico,Tecnología,Norte,115.26,,C076
29-04-2024,mini pc intel nuc,Cómputo,Centro,505.95,,C077
02/03/2024,Funda iPhone 15,Telefonía,Este,20.44,120.0,C078
16/11/2024,Protector Pantalla,Telefonía,Sur,10.33,205.0,C079
19/01/2024,Soporte Monitor,Accesorios,Oeste,53.82,18.0,C080
16/09/2024,PC Escritorio Gamer,Cómputo,Oeste,1391.28,2.0,C081
05/04/2024,Xiaomi Redmi 13,Telefonía,Centro,297.11,,C082
15/12/2024,Samsung Galaxy S24,Telefonía,Centro,912.26,14.0,C083
18-04-2024,Mini PC Intel NUC,Cómputo,Sur,492.22,7.0,C084
28-01-2024,Laptop Dell XPS,Tecnología,Este,1220.36,5.0,C085
04/10/2024,Mini PC Intel NUC,Cómputo,Sur,476.52,7.0,C086
26/05/2024,Organizador Cables,Accesorios,Sur,14.63,91.0,C087
12/11/2024,Mini PC Intel NUC,Cómputo,Centro,515.86,13.0,C088
25/11/2024,Xiaomi Redmi 13,Telefonía,Norte,312.25,,C089
25/11/2024,XIAOMI REDMI 13,telefonía,Norte,312.25,,C090
06/10/2024,"Monitor 24""",Tecnología,Norte,253.33,12.0,C091
06/05/2024,iPhone 15,Telefonía,Oeste,1117.99,5.0,C092
29/04/2024,Memoria RAM 16GB,Tecnología,Oeste,89.43,45.0,C093
21/11/2024,Disco SSD 1TB,tecnología,Centro,135.96,20.0,C094
19/02/2024,PC Escritorio Gamer,Cómputo,Centro,1387.47,4.0,C095
30/04/2024,Hub USB-C 7 en 1,Accesorios,Oeste,40.57,45.0,C096
24/06/2024,Protector Pantalla,Telefonía,Oeste,9.73,199.0,C097
14/05/2024,Protector Pantalla,Telefonía,Este,9.65,204.0,C098
19/09/2024,gabinete atx corsair,Cómputo,Sur,97.94,10.0,C099
04/10/2024,Funda iPhone 15,Telefonía,Centro,19.17,124.0,C100
01/07/2024,Xiaomi Redmi 13,Telefonía,Norte,312.3,30.0,C101
10/11/2024,PC Escritorio Gamer,Cómputo,Norte,1401.61,3.0,C102
20/08/2024,Organizador Cables,Accesorios,Sur,15.2,92.0,C103
19/05/2024,Tarjeta Gráfica RTX,Cómputo,Centro,817.52,4.0,C104
11/08/2024,"Funda Laptop 15""",Accesorios,Oeste,21.6,63.0,C105
24/09/2024,Funda iPhone 15,Telefonía,Centro,20.75,117.0,C106
07/03/2024,Cargador Universal,Accesorios,Oeste,27.11,55.0,C107
26/09/2024,,Cómputo,Oeste,120.4,16.0,C108
08/03/2024,Protector Pantalla,Telefonía,Este,10.47,199.0,C109
29/10/2024,Huawei P60,Telefonía,Centro,558.0,20.0,C110
09/06/2024,iPhone 15,telefonía,Este,1126.89,11.0,C111
14/10/2024,Pad Mouse XL,Accesorios,Oeste,19.07,80.0,C112
25/06/2024,Cable USB,Accesorios,Este,13.19,97.0,C113
14/03/2024,Fuente Poder 750W,Cómputo,Centro,116.38,15.0,C114
19-12-2024,SmartWatch,Tecnología,Norte,160.82,19.0,C115
06/09/2024,Mouse Gaming,Tecnología,Norte,43.77,33.0,C116
21/10/2024,iPhone 15,Telefonía,Este,1085.26,5.0,C117
09/03/2024,Gabinete ATX Corsair,Cómputo,Norte,93.84,13.0,C118
06/06/2024,PC Escritorio Gamer,Cómputo,Sur,1371.86,9.0,C119
08/03/2024,Tarjeta Gráfica RTX,Cómputo,Sur,881.82,7.0,C120
10/02/2024,Router WiFi 6,Tecnología,Oeste,111.28,19.0,C121
30/07/2024,Laptop HP,Tecnología,Sur,907.36,15.0,C122
19/12/2024,Tablet Samsung,Tecnología,Centro,387.29,11.0,C123
18/08/2024,Impresora HP,Tecnología,Oeste,196.72,9.0,C124
16/10/2024,Funda iPhone 15,Telefonía,Sur,19.68,118.0,C125
23/09/2024,iPhone 15,Telefonía,Norte,1115.2,5.0,C126
30/10/2024,iPhone 15,Telefonía,,1121.92,12.0,C127
21/07/2024,Tablet Samsung,Tecnología,Centro,413.34,11.0,C128
06/18/2024,mini pc intel nuc,Cómputo,Centro,489.89,12.0,C129
10/09/2024,Protector Pantalla,Telefonía,Centro,10.3,204.0,C130
30/03/2024,,Cómputo,Sur,119.76,10.0,C131
16/02/2024,Organizador Cables,Accesorios,Oeste,14.1,95.0,C132
01-05-2024,Router WiFi 6,Tecnología,,114.06,18.0,C133
11/09/2024,PowerBank 20000mAh,Accesorios,Oeste,36.99,35.0,C134
24/11/2024,Fuente Poder 750W,Cómputo,Oeste,118.06,14.0,C135
04/05/2024,Cargador Universal,Accesorios,Este,27.11,50.0,C136
25/07/2024,Fuente Poder 750W,Cómputo,Sur,123.02,10.0,C137
23-10-2024,Laptop Dell XPS,Tecnología,Centro,1157.12,8.0,C138
02/03/2024,Audífonos Bluetooth,Tecnología,Norte,-87.72,22.0,C139
01/10/2024,SmartWatch,Tecnología,Norte,155.68,22.0,C140
09/07/2024,Samsung Galaxy S24,telefonía,Centro,877.43,9.0,C141
05/12/2024,,Accesorios,Norte,56.04,23.0,C142
05/12/2024,Soporte Monitor,Accesorios,Norte,56.04,23.0,C143
11/21/2024,PC Escritorio Gamer,Cómputo,Sur,1304.21,9.0,C144
05/04/2024,Protector Pantalla,Telefonía,Este,9.67,198.0,C145
10/27/2024,Soporte Monitor,Accesorios,Sur,53.03,21.0,C146
16/10/2024,"Funda Laptop 15""",Accesorios,Centro,22.81,64.0,C147
29-01-2024,cable usb,Accesorios,Sur,12.68,105.0,C148
12/12/2024,Fuente Poder 750W,Cómputo,Norte,121.83,12.0,C149
19-07-2024,Protector Pantalla,Telefonía,Oeste,9.61,197.0,C150
27-10-2024,Memoria RAM 16GB,Tecnología,Centro,82.05,44.0,C151
01/12/2024,Laptop HP,Tecnología,Este,896.02,12.0,C152
17/11/2024,Hub USB-C 7 en 1,Accesorios,,39.5,42.0,C153
18/07/2024,Disco SSD 1TB,Tecnología,Sur,133.26,18.0,C154
19-08-2024,Cable USB,Accesorios,Centro,12.6,99.0,C155
08/05/2024,Hub USB-C 7 en 1,Accesorios,Norte,39.52,48.0,C156
08/05/2024,HUB USB-C 7 EN 1,Accesorios,Norte,39.52,48.0,C157
18/04/2024,"Monitor 27"" 4K",Tecnología,Sur,450.32,11.0,C158
02/08/2024,Xiaomi Redmi 13,Telefonía,Centro,308.04,27.0,C159
19/05/2024,PC Escritorio Gamer,Cómputo,Este,1380.82,10.0,C160
26/11/2024,Cable USB,Accesorios,,13.08,103.0,C161
03/06/2024,Tarjeta Gráfica RTX,Cómputo,Sur,878.97,9.0,C162
10-11-2024,iPhone 15,Telefonía,Centro,1091.14,10.0,C163
06/04/2024,Pad Mouse XL,accesorios,Sur,18.21,77.0,C164
29-10-2024,Xiaomi Redmi 13,Telefonía,Norte,308.86,28.0,C165
16/12/2024,"Funda Laptop 15""",Accesorios,Sur,22.52,65.0,C166
05/09/2024,Memoria RAM 16GB,Tecnología,,82.96,38.0,C167
23/05/2024,Impresora HP,Tecnología,Centro,190.29,6.0,C168
14-08-2024,,Tecnología,Oeste,116.71,26.0,C169
19/01/2024,Cargador Universal,Accesorios,Sur,25.13,51.0,C170
05/10/2024,iphone 15,Telefonía,Norte,1154.49,12.0,C171
17/09/2024,Hub USB-C 7 en 1,Accesorios,Norte,38.82,44.0,C172
04-08-2024,Cable USB,Accesorios,Centro,13.51,104.0,C173
16/10/2024,"Monitor 24""",Tecnología,Centro,250.26,7.0,C174
20/08/2024,Mini PC Intel NUC,Cómputo,Sur,486.39,12.0,C175
19/03/2024,Memoria RAM 16GB,Tecnología,Centro,85.06,43.0,C176
17-11-2024,Memoria RAM 16GB,TECNOLOGÍA,Este,83.88,,C177
02-03-2024,Xiaomi Redmi 13,Telefonía,Norte,313.15,29.0,C178
02-03-2024,Xiaomi Redmi 13,telefonía,Norte,313.15,29.0,C179
14/11/2024,Disco SSD 1TB,Tecnología,Este,127.27,19.0,C180
17/04/2024,Gabinete ATX Corsair,Cómputo,Centro,99.02,15.0,C181
07/08/2024,Fuente Poder 750W,Cómputo,Centro,118.32,10.0,C182
16/11/2024,Fuente Poder 750W,Cómputo,Oeste,-116.47,13.0,C183
16/11/2024,FUENTE PODER 750W,Cómputo,,116.47,13.0,C184
11/11/2024,Mini PC Intel NUC,Cómputo,Este,488.61,6.0,C185
10/08/2024,Huawei P60,Telefonía,Centro,576.2,14.0,C186
10/08/2024,Huawei P60,Telefonía,Centro,576.2,14.0,C187
09/06/2024,soporte monitor,accesorios,Norte,54.11,19.0,C188
14/08/2024,Organizador Cables,Accesorios,Sur,14.21,91.0,C189
30/06/2024,Samsung Galaxy S24,Telefonía,Este,912.13,9.0,C190
03-07-2024,Soporte Monitor,Accesorios,Este,53.24,20.0,C191
15/11/2024,Soporte Monitor,Accesorios,Oeste,54.25,24.0,C192
15/11/2024,SOPORTE MONITOR,accesorios,Oeste,54.25,24.0,C193
22/09/2024,Mouse Gaming,Tecnología,Este,45.55,31.0,C194
08/06/2024,Disco SSD 1TB,TECNOLOGÍA,Este,130.29,16.0,C195
12/14/2024,PC Escritorio Gamer,Cómputo,Sur,1405.78,8.0,C196
27/02/2024,Cargador Universal,accesorios,Oeste,24.93,48.0,C197
22/05/2024,Protector Pantalla,Telefonía,Norte,9.58,200.0,C198
01/09/2024,,Telefonía,Oeste,885.83,,C199
17/05/2024,PowerBank 20000mAh,ACCESORIOS,Sur,36.3,29.0,C200
20/10/2024,Pad Mouse XL,Accesorios,Este,19.05,82.0,C201
06-02-2024,Xiaomi Redmi 13,Telefonía,Sur,300.3,29.0,C202
21/06/2024,samsung galaxy s24,Telefonía,Sur,875.29,8.0,C203
24/11/2024,Cable USB,Accesorios,Centro,13.28,101.0,C204
03/14/2024,Cargador Universal,Accesorios,Norte,26.11,,C205
18-10-2024,PC Escritorio Gamer,Cómputo,Centro,1351.49,4.0,C206
16/04/2024,PowerBank 20000mAh,Accesorios,Norte,36.1,34.0,C207
27/05/2024,iPhone 15,Telefonía,Este,1120.6,4.0,C208
29-02-2024,Mini PC Intel NUC,Cómputo,Centro,521.27,,C209
03/04/2024,Protector Pantalla,Telefonía,Centro,10.34,202.0,C210
28-04-2024,Mini PC Intel NUC,Cómputo,Oeste,490.24,13.0,C211
14/09/2024,SmartWatch,Tecnología,Centro,159.1,,C212
12/08/2024,"Monitor 27"" 4K",tecnología,Norte,439.42,9.0,C213
04/08/2024,Protector Pantalla,Telefonía,Centro,9.49,,C214
30/04/2024,Laptop Dell XPS,Tecnología,Este,1178.38,7.0,C215
01-03-2024,Audífonos Bluetooth,Tecnología,Norte,86.92,27.0,C216
03/05/2024,Disco SSD 1TB,Tecnología,Sur,132.79,21.0,C217
03/16/2024,smartwatch,Tecnología,Norte,166.71,,C218
15/09/2024,Laptop Dell XPS,Tecnología,,1192.1,5.0,C219
07-12-2024,PC Escritorio Gamer,Cómputo,Sur,1392.27,9.0,C220
15-05-2024,Laptop Dell XPS,Tecnología,Norte,1217.76,5.0,C221
24/01/2024,Soporte Monitor,Accesorios,Centro,53.28,24.0,C222
23-06-2024,"Monitor 24""",Tecnología,Este,238.22,12.0,C223
06-02-2024,Memoria RAM 16GB,Tecnología,Oeste,86.12,43.0,C224
03/06/2024,PowerBank 20000mAh,Accesorios,Sur,36.35,30.0,C225
15/11/2024,Cable USB,Accesorios,Norte,13.13,98.0,C226
01/11/2024,Soporte Monitor,Accesorios,Sur,55.32,24.0,C227
05/24/2024,organizador cables,Accesorios,Sur,13.82,93.0,C228
02/09/2024,iPhone 15,telefonía,Norte,1136.95,8.0,C229
12/07/2024,Gabinete ATX Corsair,Cómputo,Oeste,99.29,15.0,C230
14/03/2024,Mouse Gaming,Tecnología,Oeste,47.12,30.0,C231
29-09-2024,Pad Mouse XL,Accesorios,Norte,19.84,81.0,C232
04/09/2024,Mini PC Intel NUC,Cómputo,Centro,495.52,11.0,C233
01/07/2024,Tablet Samsung,Tecnología,Sur,408.27,10.0,C234
24/11/2024,iPhone 15,Telefonía,Oeste,1060.28,,C235
14/11/2024,PC Escritorio Gamer,Cómputo,Norte,1306.42,4.0,C236
09/06/2024,iPhone 15,Telefonía,Centro,1059.29,9.0,C237
19/11/2024,Gabinete ATX Corsair,Cómputo,Este,92.54,15.0,C238
23/04/2024,Gabinete ATX Corsair,Cómputo,Sur,92.35,11.0,C239
16/12/2024,Samsung Galaxy S24,Telefonía,Este,858.3,8.0,C240
11/22/2024,,Telefonía,Centro,9.62,199.0,C241
25-07-2024,Samsung Galaxy S24,Telefonía,Oeste,861.71,14.0,C242
08/03/2024,Mini PC Intel NUC,Cómputo,Norte,514.13,10.0,C243
27/10/2024,PC Escritorio Gamer,Cómputo,Centro,1340.88,,C244
07-06-2024,"Funda Laptop 15""",Accesorios,Sur,23.21,62.0,C245
26/03/2024,Mini PC Intel NUC,Cómputo,Centro,495.25,10.0,C246
16/03/2024,Soporte Monitor,Accesorios,Centro,52.39,21.0,C247
26-06-2024,Audífonos Bluetooth,Tecnología,Este,90.16,25.0,C248
02/02/2024,"Monitor 24""",Tecnología,Sur,259.95,7.0,C249
22/04/2024,"Monitor 24""",Tecnología,Norte,258.43,12.0,C250
10/05/2024,Xiaomi Redmi 13,Telefonía,Sur,302.16,23.0,C251
29-09-2024,Teclado Mecánico,Tecnología,Norte,114.25,26.0,C252
06-05-2024,Pad Mouse XL,Accesorios,,19.75,85.0,C253
01-07-2024,Xiaomi Redmi 13,Telefonía,Oeste,298.97,22.0,C254
01-07-2024,Xiaomi Redmi 13,Telefonía,Oeste,298.97,22.0,C255
30-09-2024,Memoria RAM 16GB,Tecnología,Este,90.03,45.0,C256
03-07-2024,,Accesorios,Sur,14.69,89.0,C257
15-11-2024,PC Escritorio Gamer,Cómputo,Oeste,1389.05,10.0,C258
05/12/2024,PowerBank 20000mAh,Accesorios,Norte,35.09,34.0,C259
15/07/2024,Cargador Universal,Accesorios,Este,24.92,47.0,C260
05/02/2024,Mini PC Intel NUC,Cómputo,Centro,521.56,,C261
28/04/2024,Tarjeta Gráfica RTX,cómputo,Norte,865.0,7.0,C262
12/12/2024,"Monitor 24""",Tecnología,Sur,245.42,15.0,C263
21/09/2024,Fuente Poder 750W,Cómputo,Este,124.3,,C264
20/12/2024,Cargador Universal,Accesorios,Oeste,26.72,54.0,C265
09/03/2024,Gabinete ATX Corsair,Cómputo,Oeste,98.52,8.0,C266
05/07/2024,Tarjeta Gráfica RTX,CÓMPUTO,Sur,890.87,1.0,C267
19/03/2024,protector pantalla,TELEFONÍA,Centro,10.33,202.0,C268
19/03/2024,PROTECTOR PANTALLA,Telefonía,,10.33,202.0,C269
01/02/2024,Audífonos Bluetooth,Tecnología,Norte,90.98,26.0,C270
17-07-2024,Tarjeta Gráfica RTX,Cómputo,Norte,844.36,,C271
14/04/2024,Pad Mouse XL,Accesorios,Sur,19.65,78.0,C272
17/11/2024,Mini PC Intel NUC,CÓMPUTO,Este,505.1,11.0,C273
06-08-2024,Mouse Gaming,Tecnología,Norte,43.48,27.0,C274
16-03-2024,iPhone 15,Telefonía,Norte,1114.52,5.0,C275
18/02/2024,Tarjeta Gráfica RTX,cómputo,Oeste,879.11,1.0,C276
29-06-2024,Samsung Galaxy S24,TELEFONÍA,Centro,913.94,12.0,C277
09-04-2024,Impresora HP,Tecnología,,209.46,10.0,C278
19/09/2024,Organizador Cables,Accesorios,Este,14.61,,C279
29/10/2024,Cargador Universal,accesorios,Centro,24.97,55.0,C280
13/12/2024,iPhone 15,Telefonía,Oeste,1105.96,12.0,C281
13/12/2024,IPHONE 15,telefonía,,1105.96,12.0,C282
23-06-2024,,Accesorios,Centro,25.24,,C283
02/03/2024,Fuente Poder 750W,Cómputo,Sur,123.41,15.0,C284
27/08/2024,iPhone 15,Telefonía,Norte,1085.62,7.0,C285
27/08/2024,iPhone 15,telefonía,,1085.62,7.0,C286
14/12/2024,Tarjeta Gráfica RTX,Cómputo,Centro,817.0,,C287
14/12/2024,TARJETA GRÁFICA RTX,Cómputo,,817.0,,C288
06/08/2024,"Monitor 27"" 4K",Tecnología,Centro,442.56,3.0,C289
12/16/2024,Router WiFi 6,Tecnología,Sur,112.11,18.0,C290
16/09/2024,Tablet Samsung,Tecnología,Oeste,416.97,11.0,C291
21/08/2024,PowerBank 20000mAh,Accesorios,Sur,37.52,34.0,C292
20-12-2024,pc escritorio gamer,Cómputo,Centro,1360.41,9.0,C293
22/03/2024,"Funda Laptop 15""",Accesorios,Centro,21.84,59.0,C294
08-06-2024,Huawei P60,Telefonía,Este,550.03,13.0,C295
06/15/2024,iphone 15,Telefonía,Sur,1072.25,4.0,C296
18/09/2024,Mini PC Intel NUC,Cómputo,Oeste,488.88,12.0,C297
06/09/2024,Audífonos Bluetooth,TECNOLOGÍA,Este,91.73,27.0,C298
07/06/2024,iPhone 15,Telefonía,Este,1113.64,,C299
17/01/2024,Xiaomi Redmi 13,telefonía,Este,308.29,27.0,C300
02/05/2024,"Funda Laptop 15""",Accesorios,Oeste,23.09,61.0,C301
07/22/2024,Webcam Full HD,Tecnología,Este,76.78,34.0,C302
03/11/2024,PC Escritorio Gamer,Cómputo,,1396.94,5.0,C303
07/04/2024,iPhone 15,Telefonía,Oeste,1067.29,7.0,C304
24/04/2024,"Funda Laptop 15""",Accesorios,Norte,22.99,57.0,C305
10/09/2024,Fuente Poder 750W,Cómputo,Centro,125.03,11.0,C306
07/02/2024,huawei p60,Telefonía,Norte,562.66,18.0,C307
25/08/2024,Gabinete ATX Corsair,Cómputo,Este,95.8,10.0,C308
24/03/2024,"Monitor 27"" 4K",TECNOLOGÍA,Norte,468.49,10.0,C309
15/12/2024,Router WiFi 6,Tecnología,Sur,108.1,14.0,C310
06/09/2024,Laptop Dell XPS,tecnología,Centro,1159.77,9.0,C311
11/10/2024,PC Escritorio Gamer,Cómputo,Este,1304.67,5.0,C312
09/27/2024,iPhone 15,Telefonía,Norte,1150.94,10.0,C313
23/06/2024,Tarjeta Gráfica RTX,Cómputo,Centro,870.81,3.0,C314
17/01/2024,Protector Pantalla,Telefonía,Centro,9.65,205.0,C315
14-02-2024,Soporte Monitor,Accesorios,Este,55.45,23.0,C316
