id_viaje,fecha,origen,destino,tipo_bus,pasajeros,precio_clp,duracion_horas
VJ-00029,2024-01-02,Concepción,La Serena,Semi-cama,33,11100.0,9.7
VJ-00030,2024-01-02,Concepción,Temuco,Cama,37,19200.0,3.1
VJ-00031,2024-01-02,Valparaíso,Santiago,Cama Premium,37,28200.0,7.7
VJ-00032,2024-01-02,Temuco,Valparaíso,Cama,43,16800.0,3.6
VJ-00033,2024-01-02,Concepción,Antofagasta,Económico,36,9400.0,7.5
VJ-00034,2024-01-02,Santiago,Temuco,Semi-cama,24,15100.0,3.6
VJ-00035,2024-01-02,Santiago,Antofagasta,Cama,30,,2.7
VJ-00036,2024-01-02,Concepción,Antofagasta,Cama,22,14900.0,5.4
VJ-00037,2024-01-02,Valparaíso,Santiago,Cama Premium,36,27500.0,5.7
VJ-00038,2024-01-02,Santiago,Iquique,Cama Premium,29,23500.0,14.0
VJ-00039,2024-01-02,Valparaíso,Antofagasta,Cama,25,15800.0,3.6
VJ-00040,2024-01-02,La Serena,Puerto Montt,Semi-cama,33,17900.0,11.6
VJ-00041,2024-01-02,Iquique,Temuco,Semi-cama,37,15000.0,5.4
VJ-00042,2024-01-02,Iquique,Santiago,Económico,33,8600.0,6.8
VJ-00043,2024-01-02,Puerto Montt,La Serena,Semi-cama,35,12500.0,10.1
VJ-00044,2024-01-02,Antofagasta,Santiago,Económico,31,8100.0,3.8
VJ-00045,2024-01-02,La Serena,Santiago,Cama,32,19600.0,14.0
VJ-00046,2024-01-02,Antofagasta,Valparaíso,Semi-cama,22,11800.0,3.5
VJ-00047,2024-01-02,Iquique,La Serena,Semi-cama,25,16000.0,9.9
VJ-00048,2024-01-02,Antofagasta,Iquique,Semi-cama,38,13000.0,6.8
VJ-00049,2024-01-03,Valparaíso,La Serena,Semi-cama,29,13700.0,3.5
VJ-00050,2024-01-03,Antofagasta,Santiago,Cama Premium,30,28500.0,7.0
VJ-00051,2024-01-03,Iquique,Antofagasta,Semi-cama,35,16400.0,10.9
VJ-00052,2024-01-03,Santiago,Iquique,Económico,31,8700.0,11.7
VJ-00053,2024-01-03,Iquique,Concepción,Semi-cama,29,13200.0,3.1
VJ-00054,2024-01-03,Santiago,La Serena,Económico,35,6100.0,11.4
VJ-00055,2024-01-03,La Serena,Puerto Montt,Cama Premium,29,26300.0,4.8
VJ-00056,2024-01-03,Santiago,Antofagasta,Económico,30,8600.0,13.3
VJ-00057,2024-01-03,La Serena,Santiago,Semi-cama,35,14200.0,9.0
VJ-00058,2024-01-03,Santiago,Iquique,Cama,30,18500.0,4.6
VJ-00059,2024-01-03,Antofagasta,Temuco,Cama,39,17900.0,1.5
VJ-00060,2024-01-03,Santiago,La Serena,Económico,25,8200.0,2.8
VJ-00061,2024-01-03,Temuco,Concepción,Semi-cama,25,8900.0,7.3
VJ-00062,2024-01-03,Valparaíso,Puerto Montt,Económico,32,11600.0,4.5
VJ-00063,2024-01-03,Santiago,Iquique,Económico,37,8900.0,7.1
VJ-00064,2024-01-03,Antofagasta,Santiago,Semi-cama,24,13800.0,3.2
VJ-00065,2024-01-03,La Serena,Valparaíso,Cama,33,17400.0,6.3
VJ-00066,2024-01-03,Santiago,La Serena,Económico,35,6700.0,5.4
VJ-00067,2024-01-03,Iquique,Concepción,Económico,27,8600.0,8.4
VJ-00068,2024-01-03,Temuco,Antofagasta,Semi-cama,32,14200.0,8.3
VJ-00069,2024-01-03,Antofagasta,Temuco,Cama,45,19600.0,4.8
VJ-00070,2024-01-03,Concepción,Santiago,Semi-cama,28,16600.0,5.3
VJ-00071,2024-01-03,Santiago,Temuco,Económico,25,9300.0,6.7
VJ-00072,2024-01-03,Santiago,Concepción,Cama,26,18200.0,8.6
VJ-00073,2024-01-04,Temuco,Santiago,Semi-cama,31,12900.0,10.8
VJ-00074,2024-01-04,Concepción,Iquique,Semi-cama,44,13500.0,9.3
VJ-00075,2024-01-04,Santiago,Concepción,Semi-cama,25,11100.0,4.7
VJ-00076,2024-01-04,Concepción,Valparaíso,Semi-cama,31,13000.0,6.3
VJ-00077,2024-01-04,Santiago,Temuco,Cama Premium,29,29800.0,9.9
VJ-00078,2024-01-04,Antofagasta,Concepción,Económico,22,9200.0,4.8
VJ-00079,2024-01-04,La Serena,Antofagasta,Semi-cama,29,10800.0,2.8
VJ-00080,2024-01-04,La Serena,Iquique,Semi-cama,32,12000.0,6.5
VJ-00081,2024-01-04,La Serena,Antofagasta,Semi-cama,33,12900.0,6.3
VJ-00082,2024-01-04,La Serena,Temuco,Cama Premium,35,31300.0,4.3
VJ-00083,2024-01-04,Valparaíso,Antofagasta,Semi-cama,25,14200.0,7.5
VJ-00084,2024-01-04,Santiago,Antofagasta,Semi-cama,30,12100.0,4.9
VJ-00085,2024-01-04,La Serena,Temuco,Económico,37,10500.0,1.5
VJ-00086,2024-01-04,Iquique,Antofagasta,Cama Premium,25,,
VJ-00087,2024-01-04,Antofagasta,Puerto Montt,Semi-cama,38,8100.0,
VJ-00088,2024-01-04,Concepción,Antofagasta,Semi-cama,27,13200.0,
VJ-00089,2024-01-04,Santiago,Temuco,Cama Premium,36,33000.0,6.0
VJ-00090,2024-01-04,Concepción,Valparaíso,Cama,30,20100.0,
VJ-00091,2024-01-04,Puerto Montt,La Serena,Económico,31,9200.0,4.6
VJ-00092,2024-01-04,Iquique,La Serena,Cama Premium,23,28100.0,2.7
VJ-00093,2024-01-04,Valparaíso,Iquique,Semi-cama,24,12200.0,8.7
VJ-00094,2024-01-04,Santiago,Antofagasta,Cama Premium,37,24300.0,3.9
VJ-00095,2024-01-04,Santiago,Valparaíso,Cama,29,23000.0,10.1
VJ-00096,2024-01-04,Santiago,Temuco,Cama,38,20600.0,6.8
VJ-00097,2024-01-05,Valparaíso,Antofagasta,Económico,34,9100.0,7.6
VJ-00098,2024-01-05,La Serena,Santiago,Cama,36,23300.0,8.1
VJ-00099,2024-01-05,Santiago,Antofagasta,Semi-cama,41,15600.0,14.0
VJ-00100,2024-01-05,Santiago,Puerto Montt,Semi-cama,36,12200.0,3.3
VJ-00101,2024-01-05,Concepción,Iquique,Económico,38,8700.0,2.8
VJ-00102,2024-01-05,La Serena,Temuco,Semi-cama,33,11000.0,8.2
VJ-00103,2024-01-05,Temuco,Concepción,Cama,36,18300.0,5.1
VJ-00104,2024-01-05,Concepción,La Serena,Económico,36,7500.0,3.4
VJ-00105,2024-01-05,Concepción,Iquique,Cama,34,17400.0,2.2
VJ-00106,2024-01-05,Santiago,Iquique,Cama,45,19200.0,
VJ-00107,2024-01-05,Antofagasta,Iquique,Semi-cama,33,17400.0,7.5
VJ-00108,2024-01-05,Antofagasta,Puerto Montt,Económico,34,8900.0,11.0
VJ-00109,2024-01-05,Concepción,Iquique,Económico,32,6100.0,6.9
VJ-00110,2024-01-05,Santiago,Temuco,Económico,25,8800.0,2.9
VJ-00111,2024-01-05,Valparaíso,Puerto Montt,Semi-cama,31,12000.0,3.7
VJ-00112,2024-01-05,Valparaíso,Concepción,Semi-cama,29,13100.0,4.1
VJ-00113,2024-01-05,Temuco,Santiago,Económico,41,7500.0,3.6
VJ-00114,2024-01-05,Concepción,La Serena,Semi-cama,39,17400.0,6.3
VJ-00115,2024-01-05,Concepción,Iquique,Cama Premium,18,31400.0,5.0
VJ-00116,2024-01-05,Puerto Montt,Antofagasta,Económico,42,9100.0,8.6
VJ-00117,2024-01-05,Iquique,Concepción,Económico,33,8700.0,3.1
VJ-00118,2024-01-05,Antofagasta,Temuco,Semi-cama,33,13200.0,
VJ-00119,2024-01-05,Santiago,Temuco,Semi-cama,34,13000.0,
VJ-00120,2024-01-05,Antofagasta,La Serena,Cama,33,23000.0,10.5
VJ-00121,2024-01-06,Antofagasta,Puerto Montt,Cama,17,25300.0,3.0
VJ-00122,2024-01-06,Temuco,Iquique,Semi-cama,39,12300.0,5.4
VJ-00123,2024-01-06,Antofagasta,Valparaíso,Semi-cama,26,12100.0,2.6
VJ-00124,2024-01-06,Iquique,Concepción,Cama,33,22700.0,7.0
VJ-00125,2024-01-06,Antofagasta,Valparaíso,Semi-cama,29,13100.0,4.9
VJ-00126,2024-01-06,Concepción,Valparaíso,Económico,21,7700.0,5.4
VJ-00127,2024-01-06,La Serena,Concepción,Económico,34,8700.0,14.0
VJ-00128,2024-01-06,Valparaíso,Antofagasta,Cama,37,21200.0,14.0
VJ-00129,2024-01-06,La Serena,Santiago,Económico,29,7400.0,12.2
VJ-00130,2024-01-06,Antofagasta,Puerto Montt,Cama Premium,30,29400.0,8.3
VJ-00131,2024-01-06,Santiago,Antofagasta,Semi-cama,31,13000.0,7.2
VJ-00132,2024-01-06,Santiago,La Serena,Cama,30,18900.0,3.9
VJ-00133,2024-01-06,Temuco,Concepción,Cama Premium,25,33200.0,3.7
VJ-00134,2024-01-06,Santiago,Iquique,Económico,33,9800.0,5.3
VJ-00135,2024-01-06,Puerto Montt,Antofagasta,Cama Premium,30,33400.0,3.0
VJ-00136,2024-01-06,Concepción,Temuco,Semi-cama,34,11200.0,4.2
VJ-00137,2024-01-06,Concepción,Antofagasta,Económico,37,10600.0,6.9
VJ-00138,2024-01-06,Santiago,Puerto Montt,Económico,37,7200.0,
VJ-00139,2024-01-06,Puerto Montt,Iquique,Económico,39,11000.0,13.0
VJ-00140,2024-01-06,Temuco,Santiago,Semi-cama,28,16500.0,
VJ-00141,2024-01-06,Iquique,Valparaíso,Semi-cama,32,13700.0,7.0
VJ-00142,2024-01-06,Valparaíso,Antofagasta,Económico,34,10100.0,4.5
VJ-00143,2024-01-06,Santiago,La Serena,Cama,28,20900.0,4.6
VJ-00144,2024-01-06,Valparaíso,Antofagasta,Semi-cama,34,,2.9
VJ-00145,2024-01-07,Iquique,Valparaíso,Cama,32,22300.0,5.1
VJ-00146,2024-01-07,La Serena,Puerto Montt,Económico,24,9100.0,5.5
VJ-00147,2024-01-07,Santiago,Antofagasta,Semi-cama,29,15400.0,11.6
VJ-00148,2024-01-07,Concepción,Valparaíso,Cama,30,22000.0,14.0
VJ-00149,2024-01-07,Antofagasta,Iquique,Económico,34,,4.4
VJ-00150,2024-01-07,Santiago,Valparaíso,Económico,17,,3.3
VJ-00151,2024-01-07,Valparaíso,Antofagasta,Semi-cama,33,10200.0,4.2
VJ-00152,2024-01-07,Temuco,La Serena,Semi-cama,33,11700.0,3.6
VJ-00153,2024-01-07,Temuco,Iquique,Económico,27,9800.0,
VJ-00154,2024-01-07,Iquique,Concepción,Económico,33,8100.0,4.3
VJ-00155,2024-01-07,Santiago,La Serena,Cama Premium,22,28400.0,5.9
VJ-00156,2024-01-07,Valparaíso,Concepción,Económico,35,8300.0,2.9
VJ-00157,2024-01-07,Iquique,Valparaíso,Cama,25,20200.0,7.9
VJ-00158,2024-01-07,Santiago,La Serena,Semi-cama,21,13100.0,7.0
VJ-00159,2024-01-07,Santiago,Iquique,Económico,35,10000.0,4.4
VJ-00160,2024-01-07,La Serena,Santiago,Semi-cama,26,12300.0,10.6
VJ-00161,2024-01-07,Santiago,Temuco,Cama,32,16600.0,14.0
VJ-00162,2024-01-07,Antofagasta,Santiago,Semi-cama,34,13400.0,11.4
VJ-00163,2024-01-07,Concepción,Temuco,Económico,34,8400.0,3.4
VJ-00164,2024-01-07,Puerto Montt,Temuco,Económico,24,7400.0,14.0
VJ-00165,2024-01-07,La Serena,Santiago,Semi-cama,33,9800.0,10.9
VJ-00166,2024-01-07,Valparaíso,Santiago,Semi-cama,40,13700.0,4.3
VJ-00167,2024-01-07,Concepción,Temuco,Semi-cama,34,15100.0,4.3
VJ-00168,2024-01-07,Iquique,La Serena,Económico,26,8200.0,7.9
VJ-00169,2024-01-08,Valparaíso,Puerto Montt,Cama,31,18000.0,11.3
VJ-00170,2024-01-08,Santiago,Valparaíso,Semi-cama,36,15500.0,11.0
VJ-00171,2024-01-08,La Serena,Antofagasta,Cama Premium,36,30700.0,3.3
VJ-00172,2024-01-08,Temuco,Iquique,Semi-cama,42,11100.0,1.8
VJ-00173,2024-01-08,Santiago,Concepción,Cama Premium,36,30700.0,6.8
VJ-00174,2024-01-08,Valparaíso,Concepción,Cama,29,23700.0,3.1
VJ-00175,2024-01-08,Santiago,La Serena,Cama Premium,36,21100.0,5.6
VJ-00176,2024-01-08,Valparaíso,Iquique,Cama,36,19100.0,3.4
VJ-00177,2024-01-08,Concepción,La Serena,Económico,36,9400.0,8.0
VJ-00178,2024-01-08,Santiago,Concepción,Cama,29,19700.0,12.1
VJ-00179,2024-01-08,Temuco,Iquique,Cama,45,17800.0,4.8
VJ-00180,2024-01-08,Concepción,Puerto Montt,Semi-cama,35,,12.2
VJ-00181,2024-01-08,Temuco,Puerto Montt,Semi-cama,28,13200.0,10.1
VJ-00182,2024-01-08,Santiago,Antofagasta,Cama,22,17900.0,8.5
VJ-00183,2024-01-08,Santiago,Iquique,Semi-cama,32,14600.0,5.4
VJ-00184,2024-01-08,Concepción,Iquique,Semi-cama,37,13200.0,3.7
VJ-00185,2024-01-08,Valparaíso,Santiago,Cama Premium,36,24500.0,9.7
VJ-00186,2024-01-08,Temuco,Iquique,Cama,34,17400.0,2.1
VJ-00187,2024-01-08,Santiago,Temuco,Cama,42,17900.0,7.2
VJ-00188,2024-01-08,Temuco,Santiago,Cama,43,18700.0,13.1
VJ-00189,2024-01-08,Valparaíso,Iquique,Económico,37,9500.0,7.9
VJ-00190,2024-01-08,Valparaíso,Iquique,Cama,28,23900.0,8.5
VJ-00191,2024-01-08,Santiago,Iquique,Cama Premium,37,30700.0,12.3
VJ-00192,2024-01-08,Iquique,Puerto Montt,Cama Premium,32,24000.0,6.4
VJ-00193,2024-01-09,La Serena,Puerto Montt,Semi-cama,30,16800.0,7.2
VJ-00194,2024-01-09,Iquique,Antofagasta,Económico,28,7600.0,14.0
VJ-00195,2024-01-09,Valparaíso,Santiago,Semi-cama,29,15200.0,4.8
VJ-00196,2024-01-09,Temuco,Concepción,Semi-cama,22,,3.9
VJ-00197,2024-01-09,Santiago,Antofagasta,Cama,31,18400.0,4.3
VJ-00198,2024-01-09,Santiago,Antofagasta,Cama Premium,34,20200.0,
VJ-00199,2024-01-09,Santiago,Iquique,Económico,34,8500.0,6.5
VJ-00200,2024-01-09,Concepción,Iquique,Cama Premium,25,25300.0,5.1
VJ-00201,2024-01-09,Santiago,Puerto Montt,Semi-cama,26,10100.0,3.8
VJ-00202,2024-01-09,Valparaíso,Iquique,Cama,26,17300.0,10.7
VJ-00203,2024-01-09,Temuco,Concepción,Semi-cama,35,15000.0,3.8
VJ-00204,2024-01-09,Antofagasta,La Serena,Semi-cama,36,11700.0,5.3
VJ-00205,2024-01-09,Concepción,Iquique,Semi-cama,37,15700.0,6.7
VJ-00206,2024-01-09,Puerto Montt,Valparaíso,Semi-cama,36,14800.0,4.1
VJ-00207,2024-01-09,Concepción,Valparaíso,Semi-cama,28,12700.0,13.5
VJ-00208,2024-01-09,Iquique,La Serena,Semi-cama,29,15200.0,6.3
VJ-00209,2024-01-09,Concepción,Valparaíso,Económico,32,7700.0,14.0
VJ-00210,2024-01-09,Santiago,Temuco,Cama Premium,28,30300.0,2.4
VJ-00211,2024-01-09,Temuco,Puerto Montt,Semi-cama,24,9700.0,14.0
VJ-00212,2024-01-09,Temuco,Santiago,Económico,41,7500.0,7.0
VJ-00213,2024-01-09,Concepción,Temuco,Semi-cama,34,15000.0,3.9
VJ-00214,2024-01-09,Valparaíso,Iquique,Económico,32,5700.0,4.1
VJ-00215,2024-01-09,Valparaíso,Santiago,Cama,26,24200.0,6.4
VJ-00216,2024-01-09,La Serena,Iquique,Económico,31,10400.0,8.2
VJ-00217,2024-01-10,Concepción,Santiago,Semi-cama,29,11100.0,6.2
VJ-00218,2024-01-10,Santiago,Concepción,Cama,31,17500.0,6.6
VJ-00219,2024-01-10,Santiago,Iquique,Económico,31,,10.3
VJ-00220,2024-01-10,Temuco,Santiago,Cama,32,17500.0,6.0
VJ-00221,2024-01-10,Puerto Montt,Iquique,Económico,32,5700.0,12.3
VJ-00222,2024-01-10,Santiago,Iquique,Semi-cama,39,12400.0,10.5
VJ-00223,2024-01-10,Santiago,Valparaíso,Cama,36,23600.0,4.5
VJ-00224,2024-01-10,Iquique,Valparaíso,Económico,25,6800.0,8.2
VJ-00225,2024-01-10,Valparaíso,La Serena,Cama Premium,21,26300.0,9.8
VJ-00226,2024-01-10,Valparaíso,La Serena,Económico,38,11000.0,5.9
VJ-00227,2024-01-10,Concepción,Santiago,Cama,32,18600.0,6.6
VJ-00228,2024-01-10,Santiago,Temuco,Semi-cama,43,15000.0,5.1
VJ-00229,2024-01-10,Valparaíso,La Serena,Cama Premium,37,25600.0,5.2
VJ-00230,2024-01-10,La Serena,Santiago,Cama,23,18000.0,5.6
VJ-00231,2024-01-10,Antofagasta,Valparaíso,Cama Premium,37,24200.0,4.4
VJ-00232,2024-01-10,Concepción,Temuco,Económico,28,7800.0,5.6
VJ-00233,2024-01-10,Santiago,Puerto Montt,Cama,33,17600.0,8.2
VJ-00234,2024-01-10,Concepción,Santiago,Cama,29,22000.0,7.6
VJ-00235,2024-01-10,Concepción,Valparaíso,Semi-cama,21,12200.0,7.0
VJ-00236,2024-01-10,Valparaíso,Temuco,Cama,37,20100.0,5.7
VJ-00237,2024-01-10,Santiago,Puerto Montt,Cama,25,24100.0,8.0
VJ-00238,2024-01-10,Santiago,La Serena,Económico,41,7900.0,3.9
VJ-00239,2024-01-10,Valparaíso,Iquique,Semi-cama,25,14500.0,4.6
VJ-00240,2024-01-10,Concepción,Iquique,Económico,25,8200.0,9.7
VJ-00241,2024-01-11,Temuco,Valparaíso,Cama,34,22800.0,5.2
VJ-00242,2024-01-11,Santiago,Concepción,Económico,35,8200.0,14.0
VJ-00243,2024-01-11,Concepción,Temuco,Cama,38,19900.0,4.1
VJ-00244,2024-01-11,Santiago,Temuco,Cama,29,17400.0,3.6
VJ-00245,2024-01-11,Santiago,Puerto Montt,Semi-cama,35,13100.0,7.0
VJ-00246,2024-01-11,Valparaíso,Antofagasta,Semi-cama,33,14100.0,2.3
VJ-00247,2024-01-11,Valparaíso,Concepción,Semi-cama,39,13400.0,4.4
VJ-00248,2024-01-11,Valparaíso,Concepción,Cama,33,16700.0,9.4
VJ-00249,2024-01-11,Antofagasta,Valparaíso,Cama Premium,39,,6.0
VJ-00250,2024-01-11,Valparaíso,Concepción,Cama,26,17500.0,
VJ-00251,2024-01-11,Santiago,Iquique,Cama,41,18500.0,4.6
VJ-00252,2024-01-11,Iquique,Puerto Montt,Semi-cama,28,16300.0,5.7
VJ-00253,2024-01-11,Valparaíso,Concepción,Económico,32,9100.0,7.6
VJ-00254,2024-01-11,Concepción,Temuco,Cama,43,24500.0,7.8
VJ-00255,2024-01-11,Santiago,La Serena,Semi-cama,43,14400.0,4.6
VJ-00256,2024-01-11,Iquique,Santiago,Semi-cama,37,13600.0,4.7
VJ-00257,2024-01-11,Concepción,Puerto Montt,Económico,35,7300.0,1.9
VJ-00258,2024-01-11,Temuco,Valparaíso,Semi-cama,34,13000.0,7.5
VJ-00259,2024-01-11,Puerto Montt,Concepción,Económico,35,7500.0,4.2
VJ-00260,2024-01-11,Santiago,Puerto Montt,Cama,37,17500.0,
VJ-00261,2024-01-11,Concepción,Valparaíso,Económico,27,8800.0,
VJ-00262,2024-01-11,Valparaíso,Concepción,Cama,27,17100.0,3.9
VJ-00263,2024-01-11,La Serena,Puerto Montt,Cama,34,22700.0,4.0
VJ-00264,2024-01-11,Santiago,Iquique,Cama Premium,39,29100.0,5.1
VJ-00265,2024-01-12,Santiago,Temuco,Semi-cama,23,14800.0,14.0
VJ-00266,2024-01-12,Iquique,Concepción,Cama,29,23100.0,5.1
VJ-00267,2024-01-12,Santiago,La Serena,Cama Premium,31,29300.0,
VJ-00268,2024-01-12,Temuco,Santiago,Económico,45,8200.0,14.0
VJ-00269,2024-01-12,Valparaíso,Santiago,Semi-cama,27,8800.0,5.9
VJ-00270,2024-01-12,Santiago,La Serena,Económico,33,8100.0,6.0
VJ-00271,2024-01-12,Temuco,Puerto Montt,Cama,26,14200.0,10.9
VJ-00272,2024-01-12,Santiago,Antofagasta,Cama Premium,35,18900.0,3.2
VJ-00273,2024-01-12,Antofagasta,Santiago,Cama Premium,30,23600.0,10.7
VJ-00274,2024-01-12,Concepción,Santiago,Económico,33,9400.0,4.3
VJ-00275,2024-01-12,Santiago,Valparaíso,Cama Premium,32,25400.0,
VJ-00276,2024-01-12,Valparaíso,Puerto Montt,Cama Premium,33,23100.0,6.4
VJ-00277,2024-01-12,Concepción,Antofagasta,Semi-cama,31,12300.0,4.5
VJ-00278,2024-01-12,Concepción,Santiago,Semi-cama,21,15000.0,7.6
VJ-00279,2024-01-12,Valparaíso,Santiago,Cama,29,22200.0,3.7
VJ-00280,2024-01-12,Iquique,Temuco,Cama,29,17600.0,5.1
VJ-00281,2024-01-12,Temuco,Iquique,Semi-cama,45,10900.0,4.3
VJ-00282,2024-01-12,La Serena,Iquique,Semi-cama,34,12800.0,5.0
VJ-00283,2024-01-12,Concepción,Antofagasta,Semi-cama,29,12600.0,7.8
VJ-00284,2024-01-12,Puerto Montt,La Serena,Cama,22,,
VJ-00285,2024-01-12,Temuco,Concepción,Cama Premium,30,29100.0,3.7
VJ-00286,2024-01-12,Temuco,La Serena,Cama,34,17000.0,4.7
VJ-00287,2024-01-12,Antofagasta,La Serena,Semi-cama,28,10600.0,3.0
VJ-00288,2024-01-12,Santiago,Valparaíso,Económico,31,9300.0,9.3
VJ-00289,2024-01-13,Santiago,Concepción,Semi-cama,25,11700.0,
VJ-00290,2024-01-13,Antofagasta,Concepción,Semi-cama,38,15600.0,4.7
VJ-00291,2024-01-13,Santiago,Puerto Montt,Cama,35,22400.0,11.4
VJ-00292,2024-01-13,Antofagasta,Santiago,Semi-cama,25,12500.0,10.0
VJ-00293,2024-01-13,Concepción,Puerto Montt,Cama,28,25000.0,3.8
VJ-00294,2024-01-13,Puerto Montt,Concepción,Cama,29,18200.0,6.6
VJ-00295,2024-01-13,Concepción,Santiago,Cama,41,15900.0,7.1
VJ-00296,2024-01-13,Puerto Montt,Concepción,Económico,29,9800.0,4.9
VJ-00297,2024-01-13,La Serena,Puerto Montt,Cama,26,21800.0,5.9
VJ-00298,2024-01-13,Santiago,Valparaíso,Cama,38,20100.0,4.1
VJ-00299,2024-01-13,Valparaíso,Concepción,Cama Premium,34,25400.0,4.9
VJ-00300,2024-01-13,Santiago,Temuco,Económico,32,5900.0,9.1
VJ-00301,2024-01-13,Iquique,Concepción,Cama,27,18800.0,4.9
VJ-00302,2024-01-13,Antofagasta,Puerto Montt,Cama,35,16800.0,5.7
VJ-00303,2024-01-13,La Serena,Concepción,Económico,35,8200.0,11.2
VJ-00304,2024-01-13,Valparaíso,La Serena,Económico,41,8400.0,8.5
VJ-00305,2024-01-13,La Serena,Temuco,Cama,29,,6.8
VJ-00306,2024-01-13,Valparaíso,Puerto Montt,Económico,43,8300.0,13.9
VJ-00307,2024-01-13,Iquique,Temuco,Semi-cama,26,15600.0,2.3
VJ-00308,2024-01-13,Concepción,Temuco,Cama Premium,32,30600.0,8.9
VJ-00309,2024-01-13,Antofagasta,Santiago,Semi-cama,22,14100.0,5.4
VJ-00310,2024-01-13,Santiago,Concepción,Cama,39,18000.0,1.3
VJ-00311,2024-01-13,La Serena,Concepción,Semi-cama,20,12500.0,6.7
VJ-00312,2024-01-13,Temuco,Antofagasta,Económico,41,7900.0,14.0
VJ-00313,2024-01-14,Valparaíso,Santiago,Cama,32,20000.0,4.8
VJ-00314,2024-01-14,Concepción,Valparaíso,Semi-cama,32,13300.0,5.0
VJ-00315,2024-01-14,Valparaíso,Temuco,Económico,20,10700.0,5.8
VJ-00316,2024-01-14,Iquique,Valparaíso,Cama,26,17600.0,9.6
VJ-00317,2024-01-14,Temuco,La Serena,Cama,29,20400.0,6.0
VJ-00318,2024-01-14,Santiago,Temuco,Semi-cama,20,10900.0,14.0
VJ-00319,2024-01-14,Valparaíso,Antofagasta,Cama Premium,27,25600.0,3.6
VJ-00320,2024-01-14,La Serena,Iquique,Semi-cama,30,13800.0,3.5
VJ-00321,2024-01-14,Valparaíso,Temuco,Económico,35,9500.0,6.5
VJ-00322,2024-01-14,La Serena,Antofagasta,Cama,33,17900.0,3.3
VJ-00323,2024-01-14,Antofagasta,Concepción,Semi-cama,24,14000.0,7.1
VJ-00324,2024-01-14,La Serena,Temuco,Semi-cama,22,15900.0,9.2
VJ-00325,2024-01-14,Concepción,La Serena,Cama,23,16700.0,7.0
VJ-00326,2024-01-14,Antofagasta,Puerto Montt,Semi-cama,30,11300.0,13.7
VJ-00327,2024-01-14,Temuco,Valparaíso,Semi-cama,30,14200.0,5.1
VJ-00328,2024-01-14,Iquique,Valparaíso,Cama,17,18700.0,8.1
VJ-00329,2024-01-14,Temuco,Valparaíso,Cama,30,17000.0,
VJ-00330,2024-01-14,Santiago,Iquique,Semi-cama,28,16300.0,5.6
VJ-00331,2024-01-14,Santiago,Puerto Montt,Cama,28,16700.0,2.6
VJ-00332,2024-01-14,Concepción,Iquique,Cama,24,19300.0,10.5
VJ-00333,2024-01-14,Santiago,La Serena,Económico,29,8100.0,9.1
VJ-00334,2024-01-14,Temuco,Valparaíso,Cama Premium,38,33200.0,7.8
